ID TIME ESTIMATE W B S1 S2 S3
1 0.002 0.125 0 3 0 0 0
1 1.004 0.071 0 6 0.0 0.0 0.0
1 2.01 0.05 0 9 0.0 0.0 0.0
1 4.003 0.038 0 12 0.0 0.0 0.0
1 5.009 0.031 0 15 0.0 0.0 0.0
1 7.003 0.026 0 18 0.0 0.0 0.0
1 9.004 0.023 0 21 0.0 0.0 0.0
1 10.011 0.02 0 24 0.0 0.0 0.0
1 12.004 0.018 0 27 0.0 0.0 0.0
1 13.006 0.016 0 30 0.0 0.0 0.0
1 14.008 0.015 0 33 0.0 0.0 0.0
1 16.006 0.014 0 36 0.0 0.0 0.0
1 17.008 0.013 0 39 0.0 0.0 0.0
1 18.009 0.012 0 42 0.0 0.0 0.0
1 20.006 0.011 0 45 0.0 0.0 0.0
1 22.005 0.01 0 48 0.0 0.0 0.0
1 23.009 0.01 0 51 0.0 0.0 0.0
1 25.006 0.009 0 54 0.0 0.0 0.0
1 26.007 0.06 3 54 1.0 1.0 1.0
1 28.007 0.074 4 56 0.0 0.0 1.0
1 29.007 0.086 5 58 0.0 0.0 1.0
1 31.007 0.097 6 60 1.0 0.0 0.0
1 32.01 0.093 6 63 0.0 0.0 0.0
1 34.01 0.089 6 66 0.0 0.0 0.0
1 36.008 0.086 6 69 0.0 0.0 0.0
1 38.011 0.082 6 72 0.0 0.0 0.0
1 40.008 0.079 6 75 0.0 0.0 0.0
1 42.007 0.076 6 78 0.0 0.0 0.0
1 44.01 0.074 6 81 0.0 0.0 0.0
1 46.007 0.071 6 84 0.0 0.0 0.0
1 48.009 0.069 6 87 0.0 0.0 0.0
1 49.009 0.067 6 90 0.0 0.0 0.0
1 51.009 0.095 9 90 1.0 1.0 1.0
1 52.01 0.121 12 90 1.0 1.0 1.0
1 53.012 0.146 15 90 1.0 1.0 1.0
1 55.014 0.151 16 92 1.0 0.0 0.0
1 57.019 0.147 16 95 0.0 0.0 0.0
1 59.01 0.161 18 96 0.0 1.0 1.0
1 61.012 0.182 21 96 1.0 1.0 1.0
1 62.019 0.202 24 96 1.0 1.0 1.0
1 64.011 0.222 27 96 1.0 1.0 1.0
1 66.009 0.24 30 96 1.0 1.0 1.0
1 67.014 0.242 31 98 1.0 0.0 0.0
1 68.024 0.237 31 101 0.0 0.0 0.0
1 70.017 0.232 31 104 0.0 0.0 0.0
1 72.011 0.248 34 104 1.0 1.0 1.0
1 73.012 0.264 37 104 1.0 1.0 1.0
1 75.012 0.272 39 105 1.0 1.0 0.0
1 76.012 0.274 40 107 1.0 0.0 0.0
1 77.02 0.268 40 110 0.0 0.0 0.0
1 79.01 0.263 40 113 0.0 0.0 0.0
1 80.012 0.258 40 116 0.0 0.0 0.0
1 81.021 0.253 40 119 0.0 0.0 0.0
1 83.012 0.248 40 122 0.0 0.0 0.0
1 84.013 0.244 40 125 0.0 0.0 0.0
1 86.013 0.24 40 128 0.0 0.0 0.0
1 87.014 0.235 40 131 0.0 0.0 0.0
1 89.014 0.249 43 131 1.0 1.0 1.0
1 91.016 0.261 46 131 1.0 1.0 1.0
1 93.012 0.257 46 134 0.0 0.0 0.0
1 94.012 0.253 46 137 0.0 0.0 0.0
1 96.013 0.249 46 140 0.0 0.0 0.0
1 98.016 0.245 46 143 0.0 0.0 0.0
1 100.014 0.241 46 146 0.0 0.0 0.0
1 102.016 0.237 46 149 0.0 0.0 0.0
1 104.014 0.234 46 152 0.0 0.0 0.0
1 105.015 0.235 47 154 0.0 0.0 1.0
1 107.015 0.237 48 156 0.0 0.0 1.0
1 108.015 0.238 49 158 0.0 0.0 1.0
1 109.017 0.235 49 161 0.0 0.0 0.0
1 111.02 0.245 52 161 1.0 1.0 1.0
1 113.021 0.242 52 164 0.0 0.0 0.0
1 115.016 0.239 52 167 0.0 0.0 0.0
1 116.017 0.235 52 170 0.0 0.0 0.0
1 118.016 0.237 53 172 0.0 0.0 1.0
1 119.017 0.242 55 173 1.0 1.0 0.0
1 120.017 0.248 57 174 1.0 1.0 0.0
1 122.017 0.257 60 174 1.0 1.0 1.0
1 124.017 0.254 60 177 0.0 0.0 0.0
1 126.019 0.259 62 178 1.0 1.0 0.0
1 128.018 0.26 63 180 0.0 0.0 1.0
1 130.019 0.261 64 182 0.0 0.0 1.0
1 131.019 0.258 64 185 0.0 0.0 0.0
1 133.032 0.255 64 188 0.0 0.0 0.0
1 135.016 0.252 64 191 0.0 0.0 0.0
1 137.017 0.249 64 194 0.0 0.0 0.0
1 138.02 0.246 64 197 0.0 0.0 0.0
1 140.019 0.247 65 199 0.0 0.0 1.0
1 141.024 0.248 66 201 0.0 0.0 1.0
1 143.018 0.249 67 203 0.0 0.0 1.0
1 144.019 0.25 68 205 0.0 0.0 1.0
1 146.019 0.247 68 208 0.0 0.0 0.0
1 148.017 0.252 70 209 1.0 1.0 0.0
1 149.021 0.249 70 212 0.0 0.0 0.0
1 151.02 0.247 70 215 0.0 0.0 0.0
1 153.019 0.244 70 218 0.0 0.0 0.0
1 155.02 0.241 70 221 0.0 0.0 0.0
1 156.02 0.239 70 224 0.0 0.0 0.0
1 158.025 0.237 70 227 0.0 0.0 0.0
1 159.027 0.234 70 230 0.0 0.0 0.0
1 161.021 0.242 73 230 1.0 1.0 1.0
1 163.02 0.239 73 233 0.0 0.0 0.0
1 164.021 0.237 73 236 0.0 0.0 0.0
1 165.024 0.235 73 239 0.0 0.0 0.0
1 167.026 0.233 73 242 0.0 0.0 0.0
1 169.023 0.23 73 245 0.0 0.0 0.0
1 171.027 0.228 73 248 0.0 0.0 0.0
1 173.023 0.226 73 251 0.0 0.0 0.0
1 175.022 0.224 73 254 0.0 0.0 0.0
1 177.023 0.222 73 257 0.0 0.0 0.0
1 179.052 0.223 74 259 0.0 0.0 1.0
1 181.02 0.221 74 262 0.0 0.0 0.0
1 183.023 0.219 74 265 0.0 0.0 0.0
1 185.031 0.223 76 266 0.0 1.0 1.0
1 187.023 0.221 76 269 0.0 0.0 0.0
1 188.028 0.228 79 269 1.0 1.0 1.0
1 190.023 0.234 82 269 1.0 1.0 1.0
1 191.025 0.241 85 269 1.0 1.0 1.0
1 193.024 0.247 88 269 1.0 1.0 1.0
1 195.023 0.253 91 269 1.0 1.0 1.0
1 196.024 0.26 94 269 1.0 1.0 1.0
1 197.025 0.266 97 269 1.0 1.0 1.0
1 199.022 0.264 97 272 0.0 0.0 0.0
1 200.041 0.264 98 274 1.0 0.0 0.0
1 202.025 0.262 98 277 0.0 0.0 0.0
1 204.027 0.26 98 280 0.0 0.0 0.0
1 206.026 0.258 98 283 0.0 0.0 0.0
1 208.023 0.256 98 286 0.0 0.0 0.0
1 209.032 0.254 98 289 0.0 0.0 0.0
1 211.027 0.252 98 292 0.0 0.0 0.0
1 212.029 0.253 99 294 1.0 0.0 0.0
1 214.028 0.256 101 295 1.0 1.0 0.0
1 215.029 0.261 104 295 1.0 1.0 1.0
1 217.026 0.259 104 298 0.0 0.0 0.0
1 218.027 0.257 104 301 0.0 0.0 0.0
1 220.024 0.256 104 304 0.0 0.0 0.0
1 221.024 0.254 104 307 0.0 0.0 0.0
1 222.028 0.252 104 310 0.0 0.0 0.0
1 223.036 0.25 104 313 0.0 0.0 0.0
1 225.025 0.253 106 314 0.0 1.0 1.0
1 227.029 0.254 107 316 0.0 0.0 1.0
1 228.039 0.259 110 316 1.0 1.0 1.0
1 230.027 0.262 112 317 1.0 1.0 0.0
1 232.028 0.26 112 320 0.0 0.0 0.0
1 234.028 0.258 112 323 0.0 0.0 0.0
1 236.025 0.263 115 323 1.0 1.0 1.0
1 237.032 0.261 115 326 0.0 0.0 0.0
1 239.029 0.26 115 329 0.0 0.0 0.0
1 241.026 0.265 118 329 1.0 1.0 1.0
1 242.031 0.269 121 329 1.0 1.0 1.0
1 244.031 0.268 121 332 0.0 0.0 0.0
1 246.029 0.268 122 334 1.0 0.0 0.0
1 247.032 0.266 122 337 0.0 0.0 0.0
1 248.036 0.265 122 340 0.0 0.0 0.0
1 250.026 0.269 125 340 1.0 1.0 1.0
1 251.03 0.274 128 340 1.0 1.0 1.0
1 253.027 0.272 128 343 0.0 0.0 0.0
1 254.035 0.271 128 346 0.0 0.0 0.0
1 256.027 0.269 128 349 0.0 0.0 0.0
1 258.028 0.267 128 352 0.0 0.0 0.0
1 260.029 0.265 128 355 0.0 0.0 0.0
1 261.033 0.264 128 358 0.0 0.0 0.0
1 263.033 0.262 128 361 0.0 0.0 0.0
