ID TIME FPS
5 0.995 1.0
5 2.02 1.02
5 2.963 0.94
5 4.005 1.04
5 5.003 1.0
5 5.977 0.97
5 7.006 1.03
5 8.004 1.0
5 8.964 0.96
5 9.979 1.01
5 11.009 1.03
5 11.989 0.98
5 12.97 0.98
5 14.014 1.04
5 14.997 0.98
5 15.999 1.0
5 16.97 0.97
5 17.978 1.01
5 19.012 1.03
5 19.975 0.96
5 21.005 1.03
5 21.987 0.98
5 23.017 1.03
5 23.971 0.95
5 24.981 1.01
5 25.998 1.02
5 27.015 1.02
5 28.001 0.98
5 28.971 0.96
5 29.973 1.0
5 31.021 1.05
5 31.984 0.96
5 32.993 1.01
5 33.969 0.97
5 35.011 1.04
5 35.973 0.96
5 36.975 1.0
5 38.008 1.03
5 38.99 0.98
5 40.014 1.02
5 40.969 0.95
5 42.012 1.04
5 43.001 0.99
5 43.983 0.98
5 45.021 1.04
5 46.007 0.98
5 47.022 1.01
5 47.988 0.96
5 48.975 0.99
5 50.03 1.05
5 50.989 0.96
5 52.021 1.03
5 52.968 0.95
5 53.988 1.02
5 55.032 1.04
5 55.966 0.93
5 57.01 1.04
5 58.026 1.01
5 58.992 0.96
5 60.038 1.04
5 60.972 0.93
5 61.993 1.02
5 63.001 1.01
5 63.994 0.99
5 64.969 0.97
5 66.022 1.05
5 66.995 0.97
5 67.976 0.98
5 69.028 1.05
5 70.033 1.0
5 70.997 0.96
5 71.971 0.97
5 72.977 1.01
5 73.986 1.01
5 74.981 1.0
5 76.011 1.03
5 76.995 0.98
5 78.016 1.02
5 78.993 0.98
5 79.978 0.98
5 81.013 1.04
5 81.999 0.98
5 83.007 1.01
5 83.971 0.96
5 85.022 1.05
5 85.995 0.97
5 86.975 0.98
5 88.023 1.05
5 89.0 0.98
5 90.016 1.01
5 90.975 0.96
5 91.976 1.0
5 92.997 1.02
5 94.001 1.0
5 95.007 1.0
5 95.99 0.98
5 96.988 1.0
5 98.025 1.04
5 98.978 0.95
5 100.027 1.05
5 100.997 0.96
5 102.015 1.02
5 102.976 0.96
5 104.025 1.05
5 105.006 0.98
5 105.979 0.97
5 107.021 1.04
5 107.978 0.96
5 109.018 1.04
5 109.974 0.95
5 110.98 1.01
5 112.028 1.05
5 112.993 0.96
5 114.023 1.03
5 115.004 0.98
5 116.014 1.0
5 116.999 0.98
5 117.981 0.98
5 119.027 1.05
5 119.976 0.95
5 121.017 1.04
5 121.978 0.96
5 122.98 1.0
5 124.032 1.05
5 125.001 0.97
5 126.022 1.02
5 126.993 0.97
5 127.986 0.99
5 128.98 0.99
5 129.987 1.01
5 131.039 1.05
5 131.983 0.94
5 133.023 1.04
5 133.98 0.96
5 135.011 1.03
5 135.994 0.98
5 136.985 0.99
5 137.988 1.0
5 139.015 1.03
5 139.981 0.96
5 141.008 1.03
5 141.979 0.97
5 143.019 1.04
5 143.987 0.97
5 145.028 1.04
5 145.996 0.97
5 147.034 1.04
5 148.014 0.98
5 148.994 0.98
5 150.019 1.02
5 150.984 0.96
5 152.017 1.03
5 152.979 0.96
5 154.026 1.05
5 155.01 0.98
