ID TIME #BLOCKS
7 4.038 1
7 30.037 2
7 36.021 1
7 110.058 5
7 169.044 1
7 202.042 2
7 213.056 1
7 245.032 1
7 295.024 3
7 357.024 3
7 382.029 2
7 527.052 1
7 538.046 1
7 561.066 3
7 568.046 1
7 606.06 1
7 619.053 3
7 658.055 2
7 679.05 2
7 684.205 1
7 726.074 1
7 756.096 1
7 843.11 4
7 854.1 1
7 911.108 2
7 1001.083 2
7 1059.111 4
7 1072.159 2
7 1082.126 3
7 1106.135 1
7 1123.14 1
7 1174.148 1
7 1186.143 1
7 1219.142 2
7 1237.131 1
7 1242.174 2
7 1260.152 2
7 1330.157 2
7 1356.154 4
7 1374.165 1
7 1383.153 1
7 1398.117 1
7 1484.165 1
7 1491.155 1
7 1515.18 2
7 1520.179 1
7 1555.163 2
7 1561.164 1
7 1602.172 3
7 1610.193 1
7 1638.199 2
7 1643.178 1
7 1694.182 2
7 1708.176 1
7 1713.196 2
7 1717.239 1
7 1790.185 1
7 1857.249 4
7 1979.229 2
7 1993.222 4
7 2033.211 1
7 2070.216 1
7 2075.198 1
7 2082.214 1
7 2086.227 1
7 2160.247 3
7 2230.201 3
7 2298.255 3
7 2311.278 2
7 2322.256 1
7 2424.247 4
7 2438.257 2
7 2446.269 1
7 2459.269 3
7 2469.284 1
7 2507.3 1
7 2519.267 1
7 2567.281 1
7 2573.278 1
7 2597.308 1
7 2613.306 1
7 2624.286 1
7 2664.291 2
7 2670.301 1
7 2766.33 2
7 2771.324 1
7 2778.311 1
7 2813.315 2
7 2887.319 3
7 2903.339 2
7 2908.36 1
7 2924.337 1
7 2988.3 1
7 3018.347 2
7 3074.353 3
7 3102.302 1
7 3133.35 2
7 3161.35 1
7 3207.377 1
7 3281.371 4
7 3420.381 7
7 3444.434 1
7 3625.427 5
7 3633.404 1
7 3638.496 2
7 3773.453 6
7 3841.418 3
7 3935.419 4
7 3943.438 1
7 3991.437 1
7 3995.448 1
7 4018.448 2
7 4033.46 3
7 4039.572 1
7 4065.438 1
7 4085.436 1
7 4119.409 1
7 4154.428 2
7 4189.402 2
7 4277.432 3
7 4314.467 1
7 4343.422 1
7 4429.494 4
7 4442.483 1
7 4497.499 3
7 4588.477 2
7 4597.47 2
7 4603.513 1
7 4615.503 1
7 4708.469 3
7 4794.544 2
7 4808.524 2
7 4857.501 4
7 4864.506 1
7 4928.538 3
7 5050.526 2
7 5056.501 1
7 5079.51 1
7 5090.564 1
7 5120.519 3
7 5163.502 2
7 5178.505 1
7 5307.582 1
7 5320.591 2
7 5339.619 2
7 5367.593 1
7 5380.558 1
7 5411.614 4
7 5471.729 2
7 5540.708 1
7 5814.61 10
7 5825.658 1
7 5924.617 4
7 5975.687 4
7 5983.629 1
7 6017.673 2
7 6023.632 1
7 6045.602 1
7 6149.669 3
7 6155.648 1
7 6203.674 1
7 6211.659 2
7 6217.658 1
7 6241.663 1
7 6257.7 1
7 6291.669 1
7 6295.672 1
7 6327.669 1
7 6333.679 1
7 6480.7 4
7 6590.71 4
7 6677.712 1
7 6701.738 3
7 6708.704 1
7 6740.691 4
7 6777.732 4
7 6785.678 1
7 6818.746 2
7 6864.755 2
7 6886.751 1
7 6924.761 2
7 7047.775 3
7 7093.758 3
7 7103.774 1
7 7163.764 5
7 7174.761 1
7 7218.813 1
7 7299.781 2
7 7350.789 1
7 7355.76 1
7 7402.8 3
7 7497.821 4
7 7511.827 1
7 7579.822 1
7 7599.811 3
7 7613.821 1
7 7720.825 1
7 7734.834 2
7 7762.832 1
7 7796.864 1
7 7820.828 1
7 7901.863 4
7 7942.843 1
7 8022.873 4
7 8029.871 1
7 8150.883 2
7 8169.895 3
7 8175.906 1
7 8224.872 1
7 8245.916 1
7 8283.901 1
7 8323.881 1
7 8480.913 4
7 8557.912 3
7 8637.946 5
7 8755.948 4
7 8765.947 1
7 8839.91 2
7 8848.962 1
7 8928.071 6
7 8938.942 1
7 8968.037 1
7 8986.048 1
7 9014.942 1
7 9046.012 2
7 9051.973 1
7 9085.076 2
7 9091.011 1
7 9127.959 1
7 9172.98 3
7 9220.048 1
7 9227.018 1
7 9279.978 2
7 9324.995 2
7 9330.032 1
7 9440.016 2
7 9468.031 3
7 9494.094 2
7 9536.986 3
7 9542.008 1
7 9586.078 2
7 9593.994 1
7 9667.036 3
7 9674.018 1
7 9714.04 3
7 9733.074 1
7 9842.06 6
7 9878.028 1
7 9976.057 5
