ID TIME #BLOCKS
30 2.504 1
30 16.279 2
30 30.089 1
30 47.776 2
30 48.984 1
30 74.18 2
30 82.607 1
30 111.094 2
30 115.302 1
30 122.797 1
30 162.712 1
30 172.292 1
30 194.676 2
30 206.377 1
30 221.488 1
30 229.92 2
30 231.097 1
30 236.199 1
30 258.402 1
30 282.691 3
30 299.475 2
30 312.088 1
30 327.088 1
30 356.984 1
30 384.577 1
30 394.021 1
30 413.071 1
30 455.088 2
30 475.496 2
30 477.595 1
30 481.783 1
30 505.293 1
30 516.884 1
30 535.783 1
30 553.683 1
30 565.288 1
30 576.807 1
30 607.372 1
30 609.488 1
30 633.084 2
30 640.581 1
30 658.403 1
