ID TIME ESTIMATE W B S1 S2 S3
4 0.002 0.125 0 3 0 0 0
4 0.979 0.357 2 4 0.0 0.7490196078431373 1.0
4 2.029 0.35 3 6 0.0 0.0 1.0
4 3.49 0.5 6 6 1.0 1.0 0.7490196078431373
4 5.011 0.469 7 8 1.0 0.0 0.0
4 6.482 0.395 7 11 0.0 0.0 0.0
4 7.987 0.432 9 12 1.0 1.0 0.0
4 9.503 0.46 11 13 1.0 1.0 0.0
4 11.042 0.411 11 16 0.0 0.0 0.0
4 12.515 0.371 11 19 0.0 0.0 0.0
4 13.996 0.338 11 22 0.0 0.0 0.0
4 15.522 0.311 11 25 0.0 0.0 0.0
4 17.006 0.287 11 28 0.0 0.0 0.0
4 18.503 0.337 14 28 1.0 1.0 1.0
4 20.037 0.315 14 31 0.0 0.0 0.0
4 21.484 0.296 14 34 0.0 0.0 0.0
4 22.534 0.279 14 37 0.0 0.0 0.0
4 23.974 0.264 14 40 0.0 0.0 0.0
4 24.981 0.25 14 43 0.0 0.0 0.0
4 25.999 0.287 17 43 1.0 1.0 1.0
4 27.478 0.273 17 46 0.0 0.0 0.0
4 28.979 0.306 20 46 1.0 1.0 1.0
4 29.989 0.293 20 49 0.0 0.0 0.0
4 31.476 0.295 21 51 0.0 0.0 0.7490196078431373
4 32.983 0.283 21 54 0.0 0.0 0.0
4 34.479 0.272 21 57 0.0 0.0 0.0
4 35.995 0.299 24 57 1.0 1.0 0.24313725490196078
4 37.494 0.324 27 57 1.0 1.0 1.0
4 39.018 0.347 30 57 1.0 1.0 1.0
4 40.482 0.335 30 60 0.0 0.0 0.0
4 41.995 0.324 30 63 0.0 0.0 0.0
4 43.476 0.314 30 66 0.0 0.0 0.0
4 44.525 0.305 30 69 0.0 0.0 0.0
4 45.983 0.296 30 72 0.0 0.0 0.0
4 47.504 0.288 30 75 0.0 0.0 0.0
4 48.988 0.28 30 78 0.0 0.0 0.0
4 50.522 0.299 33 78 1.0 1.0 1.0
4 52.055 0.309 35 79 1.0 0.24313725490196078 0.0
4 53.5 0.301 35 82 0.0 0.0 0.0
4 55.001 0.318 38 82 1.0 1.0 1.0
4 56.479 0.319 39 84 0.0 0.0 1.0
4 57.499 0.335 42 84 1.0 1.0 1.0
4 58.979 0.327 42 87 0.0 0.0 0.0
4 59.984 0.32 42 90 0.0 0.0 0.0
4 61.501 0.327 44 91 1.0 0.24313725490196078 0.0
4 63.004 0.32 44 94 0.0 0.0 0.0
4 64.018 0.313 44 97 0.0 0.0 0.0
4 65.028 0.314 45 99 0.0 0.0 1.0
4 66.52 0.314 46 101 0.24313725490196078 0.0 0.0
4 67.99 0.308 46 104 0.0 0.0 0.0
4 69.01 0.302 46 107 0.0 0.0 0.0
4 70.53 0.296 46 110 0.0 0.0 0.0
4 72.044 0.309 49 110 1.0 1.0 1.0
4 73.527 0.31 50 112 1.0 0.0 0.0
4 74.982 0.322 53 112 1.0 1.0 1.0
4 75.997 0.317 53 115 0.0 0.0 0.0
4 77.493 0.311 53 118 0.0 0.0 0.0
4 78.514 0.306 53 121 0.0 0.0 0.0
4 79.985 0.317 56 121 1.0 1.0 1.0
4 81.488 0.312 56 124 0.0 0.0 0.0
4 83.0 0.307 56 127 0.0 0.0 0.0
4 84.017 0.302 56 130 0.0 0.0 0.0
4 85.516 0.297 56 133 0.0 0.0 0.0
4 87.024 0.293 56 136 0.0 0.0 0.0
4 88.527 0.304 59 136 1.0 1.0 0.24313725490196078
4 90.061 0.299 59 139 0.0 0.0 0.0
4 91.531 0.295 59 142 0.0 0.0 0.0
4 93.014 0.29 59 145 0.0 0.0 0.0
4 94.03 0.286 59 148 0.0 0.0 0.0
4 95.512 0.296 62 148 1.0 1.0 1.0
4 97.064 0.306 65 148 1.0 1.0 1.0
4 98.49 0.311 67 149 0.0 1.0 1.0
4 99.497 0.32 70 149 0.24313725490196078 1.0 0.7490196078431373
4 100.998 0.316 70 152 0.0 0.0 0.0
4 102.495 0.312 70 155 0.0 0.0 0.0
4 104.013 0.308 70 158 0.0 0.0 0.0
4 105.529 0.317 73 158 1.0 1.0 1.0
4 107.065 0.313 73 161 0.0 0.0 0.0
4 108.537 0.321 76 161 1.0 1.0 1.0
4 110.049 0.317 76 164 0.0 0.0 0.0
4 111.506 0.314 76 167 0.0 0.0 0.0
4 112.541 0.31 76 170 0.0 0.0 0.0
4 113.999 0.314 78 171 1.0 1.0 0.0
4 115.503 0.322 81 171 1.0 1.0 1.0
4 116.509 0.33 84 171 1.0 1.0 1.0
4 118.001 0.326 84 174 0.0 0.0 0.0
4 119.494 0.334 87 174 1.0 1.0 1.0
4 120.538 0.33 87 177 0.0 0.0 0.0
4 122.061 0.334 89 178 0.0 0.5764705882352941 1.0
4 123.522 0.341 92 178 1.0 1.0 1.0
4 125.026 0.349 95 178 1.0 1.0 1.0
4 126.499 0.348 96 180 0.0 0.0 0.5764705882352941
4 128.012 0.345 96 183 0.0 0.0 0.0
4 129.022 0.341 96 186 0.0 0.0 0.0
4 130.515 0.337 96 189 0.0 0.0 0.0
4 131.541 0.334 96 192 0.0 0.0 0.0
4 133.019 0.341 99 192 1.0 1.0 1.0
4 134.523 0.337 99 195 0.0 0.0 0.0
4 136.028 0.334 99 198 0.0 0.0 0.0
4 137.507 0.331 99 201 0.0 0.0 0.0
4 139.019 0.331 100 203 0.0 0.0 1.0
4 140.508 0.334 102 204 0.0 0.24313725490196078 1.0
4 141.999 0.34 105 204 1.0 1.0 1.0
4 143.513 0.337 105 207 0.0 0.0 0.0
4 145.054 0.34 107 208 0.0 1.0 0.7490196078431373
4 146.497 0.34 108 210 0.24313725490196078 0.0 0.0
4 147.519 0.34 109 212 0.24313725490196078 0.0 0.0
4 149.002 0.337 109 215 0.0 0.0 0.0
4 150.534 0.334 109 218 0.0 0.0 0.0
4 152.025 0.331 109 221 0.0 0.0 0.0
4 153.042 0.328 109 224 0.0 0.0 0.0
4 154.53 0.325 109 227 0.0 0.0 0.0
4 155.536 0.325 110 229 1.0 0.0 0.0
4 157.007 0.322 110 232 0.0 0.0 0.0
4 158.011 0.328 113 232 1.0 1.0 1.0
4 159.526 0.325 113 235 0.0 0.0 0.0
4 161.02 0.322 113 238 0.0 0.0 0.0
4 162.525 0.32 113 241 0.0 0.0 0.0
4 163.543 0.317 113 244 0.0 0.0 0.0
4 165.031 0.323 116 244 1.0 1.0 1.0
4 166.502 0.328 119 244 1.0 1.0 1.0
4 167.531 0.328 120 246 0.1803921568627451 0.0 0.0
4 168.538 0.328 121 248 1.0 0.0 0.0
4 170.024 0.334 124 248 1.0 1.0 1.0
4 171.037 0.339 127 248 1.0 1.0 1.0
4 172.502 0.336 127 251 0.0 0.0 0.0
4 173.505 0.334 127 254 0.0 0.0 0.0
4 174.53 0.331 127 257 0.0 0.0 0.0
4 176.041 0.336 130 257 1.0 1.0 0.7490196078431373
4 177.517 0.336 131 259 0.0 0.0 1.0
4 179.002 0.334 131 262 0.0 0.0 0.0
4 180.013 0.339 134 262 1.0 1.0 1.0
4 181.513 0.336 134 265 0.0 0.0 0.0
4 183.011 0.334 134 268 0.0 0.0 0.0
4 184.547 0.339 137 268 1.0 1.0 1.0
4 186.038 0.336 137 271 0.0 0.0 0.0
4 187.074 0.334 137 274 0.0 0.0 0.0
4 188.552 0.331 137 277 0.0 0.0 0.0
4 190.09 0.331 138 279 0.0 0.0 0.7490196078431373
4 191.538 0.329 138 282 0.0 0.0 0.0
4 193.048 0.327 138 285 0.0 0.0 0.0
4 194.564 0.331 141 285 1.0 1.0 1.0
4 196.046 0.329 141 288 0.0 0.0 0.0
4 197.084 0.334 144 288 1.0 1.0 1.0
4 198.56 0.331 144 291 0.0 0.0 0.0
4 200.045 0.329 144 294 0.0 0.0 0.0
4 201.569 0.327 144 297 0.0 0.0 0.0
4 203.049 0.329 146 298 0.0 0.7490196078431373 1.0
4 204.552 0.327 146 301 0.0 0.0 0.0
4 206.01 0.329 148 302 0.0 1.0 1.0
4 207.017 0.329 149 304 0.0 1.0 0.0
4 208.589 0.332 151 305 1.0 0.24313725490196078 0.0
4 210.068 0.329 151 308 0.0 0.0 0.0
4 211.511 0.334 154 308 1.0 1.0 1.0
4 212.575 0.336 156 309 1.0 0.24313725490196078 0.0
4 214.026 0.34 159 309 1.0 1.0 1.0
4 215.066 0.338 159 312 0.0 0.0 0.0
4 216.565 0.342 162 312 1.0 1.0 1.0
4 218.054 0.34 162 315 0.0 0.0 0.0
4 219.535 0.338 162 318 0.0 0.0 0.0
4 221.05 0.336 162 321 0.0 0.0 0.0
4 222.086 0.334 162 324 0.0 0.0 0.0
4 223.519 0.332 162 327 0.0 0.0 0.0
4 225.04 0.33 162 330 0.0 0.0 0.0
4 226.533 0.328 162 333 0.0 0.0 0.0
4 227.545 0.326 162 336 0.0 0.0 0.0
4 229.021 0.33 165 336 1.0 1.0 1.0
4 230.043 0.328 165 339 0.0 0.0 0.0
4 231.522 0.326 165 342 0.0 0.0 0.0
4 233.011 0.324 165 345 0.0 0.0 0.0
4 234.016 0.328 168 345 0.24313725490196078 0.7490196078431373 1.0
4 235.038 0.332 171 345 1.0 1.0 1.0
4 236.525 0.33 171 348 0.0 0.0 0.0
4 238.078 0.328 171 351 0.0 0.0 0.0
4 239.535 0.326 171 354 0.0 0.0 0.0
4 241.038 0.324 171 357 0.0 0.0 0.0
4 242.088 0.322 171 360 0.0 0.0 0.0
4 243.572 0.322 172 362 0.0 0.0 0.7490196078431373
4 245.045 0.324 174 363 1.0 0.24313725490196078 0.0
4 246.074 0.326 176 364 0.0 1.0 1.0
4 247.592 0.326 177 366 0.24313725490196078 0.0 0.0
4 249.025 0.324 177 369 0.0 0.0 0.0
4 250.533 0.328 180 369 1.0 1.0 0.7490196078431373
4 251.57 0.326 180 372 0.0 0.0 0.0
4 253.049 0.325 180 375 0.0 0.0 0.0
4 254.085 0.323 180 378 0.0 0.0 0.0
4 255.548 0.327 183 378 1.0 1.0 1.0
4 256.553 0.325 183 381 0.0 0.0 0.0
4 257.597 0.323 183 384 0.0 0.0 0.0
4 259.044 0.321 183 387 0.0 0.0 0.0
4 260.55 0.32 183 390 0.0 0.0 0.0
4 262.032 0.32 184 392 1.0 0.0 0.0
4 263.072 0.318 184 395 0.0 0.0 0.0
4 264.593 0.322 187 395 1.0 1.0 1.0
4 266.036 0.32 187 398 0.0 0.0 0.0
4 267.067 0.318 187 401 0.0 0.0 0.0
