ID TIME VOTE
2 315.026 3056042
2 331.044 3069883
2 352.038 2979876
2 588.085 2913938
2 678.084 3082247
2 732.109 3259063
2 1027.126 3017195
2 1063.107 3011452
2 1084.141 3008150
2 1128.155 2971050
2 1146.128 2971470
2 1265.139 2918670
2 1372.15 2853973
2 1388.154 2883618
2 1598.15 3029411
2 1613.168 3025368
2 1669.162 3019523
2 1682.176 3015116
2 1769.223 3058768
2 1868.193 3037355
2 1883.193 3019117
2 1956.215 3005379
2 1971.243 2999438
2 2040.211 2945093
2 2064.248 2955155
2 2081.243 2969124
2 2099.237 2947938
2 2106.472 2941563
