ID TIME FPS
4 0.466 0.47
4 0.986 0.52
4 1.471 0.48
4 1.971 0.5
4 2.545 0.57
4 2.99 0.43
4 3.497 0.5
4 3.975 0.48
4 4.471 0.49
4 4.967 0.5
4 5.474 0.51
4 5.977 0.5
4 6.468 0.49
4 6.978 0.51
4 7.494 0.52
4 7.993 0.5
4 8.482 0.49
4 8.973 0.49
4 9.506 0.53
4 9.969 0.45
4 10.5 0.53
4 11.0 0.5
4 11.471 0.47
4 11.984 0.51
4 12.542 0.55
4 12.971 0.43
4 13.483 0.51
4 13.988 0.5
4 14.471 0.48
4 14.973 0.5
4 15.501 0.53
4 15.971 0.47
4 16.499 0.53
4 16.971 0.47
4 17.478 0.51
4 17.984 0.51
4 18.472 0.49
4 18.992 0.52
4 19.475 0.48
4 19.976 0.5
4 20.473 0.49
4 20.981 0.51
4 21.472 0.49
4 21.979 0.51
4 22.485 0.5
4 22.972 0.49
4 23.531 0.56
4 23.971 0.44
4 24.476 0.51
4 25.021 0.54
4 25.477 0.45
4 25.994 0.52
4 26.513 0.52
4 26.986 0.47
4 27.51 0.52
4 27.989 0.48
4 28.49 0.5
4 28.977 0.48
4 29.5 0.52
4 29.977 0.48
4 30.498 0.52
4 30.993 0.49
4 31.478 0.48
4 32.003 0.53
4 32.476 0.47
4 32.978 0.5
4 33.486 0.51
4 33.995 0.51
4 34.474 0.48
4 35.012 0.54
4 35.48 0.47
4 35.975 0.49
4 36.487 0.51
4 36.98 0.49
4 37.477 0.49
4 38.01 0.53
4 38.49 0.48
4 38.995 0.5
4 39.479 0.48
4 40.007 0.53
4 40.507 0.5
4 40.998 0.49
4 41.503 0.5
4 42.012 0.51
4 42.503 0.49
4 43.004 0.5
4 43.502 0.49
4 44.003 0.5
4 44.492 0.49
4 45.018 0.53
4 45.485 0.47
4 46.029 0.54
4 46.481 0.45
4 46.991 0.51
4 47.515 0.52
4 47.99 0.47
4 48.494 0.5
4 49.013 0.51
4 49.484 0.47
4 49.979 0.49
4 50.516 0.54
4 50.979 0.46
4 51.494 0.51
4 52.012 0.52
4 52.477 0.46
4 52.988 0.51
4 53.515 0.53
4 53.979 0.46
4 54.486 0.51
4 54.997 0.51
