ID TIME %RAM %CPU
1 0.003 22.2 12.9
1 5.505 22.3 4.2
1 11.512 22.3 4.4
1 21.009 22.4 4.4
1 28.055 22.5 4.8
1 33.521 22.5 5.0
1 46.017 22.6 4.7
1 54.529 22.7 4.2
1 65.514 22.8 4.3
1 71.553 22.8 4.5
1 77.517 22.9 5.3
1 84.021 22.9 5.5
1 89.026 22.9 5.0
1 95.05 22.9 6.3
1 100.536 22.7 5.0
1 106.567 22.7 4.9
1 113.035 22.7 5.8
1 118.571 22.7 3.7
1 126.03 22.7 4.4
1 131.535 22.8 4.6
1 136.546 22.8 4.5
1 143.041 22.8 3.9
1 151.043 22.8 4.4
1 160.561 22.9 4.7
1 169.044 22.9 4.7
1 178.046 22.9 3.7
1 183.593 22.9 5.4
1 189.063 22.9 4.3
1 196.095 23.0 4.9
1 202.585 22.9 9.4
1 208.574 22.9 13.3
1 214.046 22.9 5.7
1 221.594 22.9 4.4
1 227.599 22.9 4.0
1 235.588 22.9 4.0
1 242.566 22.9 4.7
1 252.078 22.9 4.6
1 260.565 22.9 5.0
1 267.06 22.9 4.4
1 273.57 22.9 3.3
1 279.599 22.9 6.6
1 286.602 23.0 5.7
1 294.574 22.9 4.2
1 301.083 22.9 4.1
1 307.574 22.9 4.4
