ID TIME #BLOCKS
1 4.058 1
1 135.062 4
1 166.046 1
1 184.025 1
1 201.061 4
1 227.04 1
1 361.073 1
1 406.087 1
1 471.104 3
1 510.061 2
1 552.107 2
1 652.081 1
1 668.09 2
1 780.123 1
1 798.089 1
1 813.094 1
1 869.147 1
1 885.156 3
1 909.146 2
1 926.115 1
1 1081.129 2
1 1108.117 3
1 1130.172 1
1 1145.122 1
1 1180.175 3
1 1202.167 1
1 1254.143 2
1 1271.18 1
1 1375.155 4
1 1406.173 3
1 1476.155 2
1 1497.177 3
1 1522.213 1
1 1536.175 1
1 1561.188 1
1 1577.204 1
1 1592.181 1
1 1616.22 1
1 1632.216 1
1 1730.195 2
1 1748.239 1
1 1787.194 1
1 1826.211 1
