ID TIME POS
15 0.21 -0.261624i + 0.352571j
15 10.296 -0.486298i + -0.480839j
15 20.448 0.0628982i + -0.344323j
15 30.596 0.678114i + 0.400904j
15 40.765 0.922633i + -0.391143j
15 50.87 -0.131591i + -0.413783j
15 61.012 0.900631i + -0.612542j
15 71.161 -0.0880421i + -0.373864j
15 81.301 -0.0130639i + -0.32601j
15 91.378 0.0857929i + -0.291984j
15 101.42 -1.06473i + 0.296113j
15 111.506 0.339365i + 0.0983118j
15 121.562 -0.0589659i + -0.679365j
15 131.631 -0.674754i + 0.443544j
15 141.643 -0.806948i + -0.193094j
15 151.738 -0.466706i + -0.0680108j
15 161.747 -0.374276i + -0.55595j
15 171.901 1.04648i + -0.0487749j
15 181.995 0.624687i + -0.278607j
15 192.044 1.12963i + -0.102987j
15 202.048 0.534016i + -0.72591j
15 212.107 0.469896i + -0.507751j
15 222.143 0.529749i + -1.26106j
15 232.146 0.765667i + -0.72431j
15 242.239 1.43021i + -0.40676j
15 252.243 0.859225i + -0.783454j
15 262.355 -0.0635202i + -1.27782j
15 272.439 -0.181748i + -1.38305j
15 282.443 0.189751i + -0.281567j
