ID TIME pos
6 5.066 [0, 0] [-0.46688828404979016, -0.4360642591606199]
6 35.464 [0, 0] [-0.46688828404979016, -0.4360642591606199]
6 66.763 [-0.53043, -0.24180000000000001] [-0.46688828404979016, -0.4360642591606199]
6 100.966 [-0.50939, -0.2538728571428571] [-0.46688828404979016, -0.4360642591606199]
6 141.774 [-0.502821111111111, -0.25831666666666664] [-0.46688828404979016, -0.4360642591606199]
6 175.866 [-0.4926576966017757, -0.2752511200254937] [-0.46688828404979016, -0.4360642591606199]
6 206.066 [-0.49064357541593456, -0.2800531828808156] [-0.46688828404979016, -0.4360642591606199]
6 236.366 [-0.4893980037215391, -0.28390697068876125] [-0.46688828404979016, -0.4360642591606199]
6 266.665 [-0.48299400372153906, -0.28821097068876117] [-0.46688828404979016, -0.4360642591606199]
6 296.971 [-0.48149533705487235, -0.2893283040220946] [-0.46688828404979016, -0.4360642591606199]
6 327.166 [-0.48030133705487227, -0.2906003040220945] [-0.46688828404979016, -0.4360642591606199]
6 357.451 [-0.479586003721539, -0.2912829706887612] [-0.46688828404979016, -0.4360642591606199]
6 387.94 [-0.479472003721539, -0.29145230402209454] [-0.46688828404979016, -0.4360642591606199]
6 418.539 [-0.47895667038820566, -0.2921329706887612] [-0.46688828404979016, -0.4360642591606199]
6 449.131 [-0.473760003721539, -0.2976676373554279] [-0.46688828404979016, -0.4360642591606199]
