ID TIME POS
2 0.331 -0.0891349i + 0.00263647j
2 10.356 -0.372823i + 0.354804j
2 20.455 -0.502196i + 0.552758j
2 30.554 -0.492307i + 0.704735j
2 40.555 -0.140403i + 0.642004j
2 50.654 0.170858i + 0.605872j
2 60.655 0.565315i + 0.5743j
2 70.754 0.420972i + 0.36705j
2 80.854 0.263259i + 0.00638863j
2 90.854 0.277041i + 0.129936j
2 100.854 0.485827i + 0.221703j
2 110.953 0.586495i + 0.137686j
2 120.956 0.527197i + -0.124665j
2 131.056 0.617703i + -0.0569251j
2 141.154 0.625196i + 0.0568768j
2 151.154 0.433505i + 0.0411633j
2 161.254 0.479266i + 0.309221j
2 171.254 0.270841i + 0.086364j
2 181.256 0.193541i + -0.00764181j
2 191.256 0.140921i + 0.16141j
2 201.353 0.100243i + 0.57072j
