ID TIME pos
6 0.316 [0, 0] [0.06873405439880698, -0.11272790996845575]
6 5.393 [0, 0] [0.06873405439880698, -0.11272790996845575]
6 10.393 [0, 0] [0.06873405439880698, -0.11272790996845575]
6 15.493 [0, 0] [0.06873405439880698, -0.11272790996845575]
6 20.597 [0, 0] [0.06873405439880698, -0.11272790996845575]
6 25.688 [0, 0] [0.06873405439880698, -0.11272790996845575]
6 30.689 [0, 0] [0.06873405439880698, -0.11272790996845575]
6 35.788 [0, 0] [0.06873405439880698, -0.11272790996845575]
6 40.794 [0, 0] [0.06873405439880698, -0.11272790996845575]
6 45.895 [0.035640000000000116, -0.2143600000000001] [0.06873405439880698, -0.11272790996845575]
6 51.0 [0.035519999999999996, -0.21296000000000004] [0.06873405439880698, -0.11272790996845575]
6 56.089 [0.03492199999999999, -0.215882] [0.06873405439880698, -0.11272790996845575]
6 61.193 [0.034596666666666685, -0.2158766666666667] [0.06873405439880698, -0.11272790996845575]
6 66.292 [0.03441500000000001, -0.2152666666666667] [0.06873405439880698, -0.11272790996845575]
6 71.293 [0.033634999999999936, -0.21420499999999998] [0.06873405439880698, -0.11272790996845575]
6 76.3 [0.03484111111111115, -0.21503333333333333] [0.06873405439880698, -0.11272790996845575]
6 81.394 [0.03352000000000007, -0.21516888888888888] [0.06873405439880698, -0.11272790996845575]
6 86.491 [0.03367999999999998, -0.21390222222222222] [0.06873405439880698, -0.11272790996845575]
6 91.493 [0.03234333333333334, -0.21118] [0.06873405439880698, -0.11272790996845575]
6 96.592 [0.032011111111111115, -0.21031444444444441] [0.06873405439880698, -0.11272790996845575]
6 101.592 [0.031846666666666676, -0.20973555555555556] [0.06873405439880698, -0.11272790996845575]
6 106.694 [0.032254000000000005, -0.20811700000000002] [0.06873405439880698, -0.11272790996845575]
6 111.788 [0.03228300000000002, -0.207734] [0.06873405439880698, -0.11272790996845575]
6 116.795 [0.03229000000000002, -0.20765700000000004] [0.06873405439880698, -0.11272790996845575]
