ID TIME pos
2 0.015 [0, 0] [0.46328539902163157, 0.18742737993338576]
2 5.042 [0, 0] [0.46328539902163157, 0.18742737993338576]
2 10.043 [0, 0] [0.46328539902163157, 0.18742737993338576]
2 15.142 [0, 0] [0.46328539902163157, 0.18742737993338576]
2 20.242 [0, 0] [0.46328539902163157, 0.18742737993338576]
2 25.242 [0, 0] [0.46328539902163157, 0.18742737993338576]
2 30.243 [0, 0] [0.46328539902163157, 0.18742737993338576]
2 35.342 [0, 0] [0.46328539902163157, 0.18742737993338576]
2 40.444 [0.6799499999999998, -0.04553000000000007] [0.46328539902163157, 0.18742737993338576]
2 45.444 [0.6799499999999998, -0.04553000000000007] [0.46328539902163157, 0.18742737993338576]
2 50.544 [0.6799499999999998, -0.04553000000000007] [0.46328539902163157, 0.18742737993338576]
2 55.643 [0.6799499999999998, -0.04553000000000007] [0.46328539902163157, 0.18742737993338576]
2 60.742 [0.6625533333333332, -0.032060000000000054] [0.46328539902163157, 0.18742737993338576]
2 65.841 [0.6625533333333332, -0.032060000000000054] [0.46328539902163157, 0.18742737993338576]
2 70.843 [0.6647649999999999, -0.03378000000000003] [0.46328539902163157, 0.18742737993338576]
