[2 INFO main 30] Initialising Python Geth Console...
[2 INFO main 34] Initialising RandB board...
[2 INFO main 34] Initialising navigation...
[2 INFO main 34] Initialising random-walk...
[2 INFO main 34] Initialising odometry...
[2 INFO main 34] Initialising ground-sensors...
[2 INFO main 961] --//-- Starting Experiment --//--
[2 INFO main 2063] Idle.IDLE -> Scout.Query | Duration: 23.94
[2 INFO main 120121] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[2 INFO main 129630] Scout.GotoCenter -> Scout.Query | return to random walk
[2 INFO main 144451] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[2 INFO main 155765] Scout.GotoCenter -> Scout.Query | return to random walk
[2 INFO main 155765] Scout.Query -> Scout.Query | Back to normal
[2 INFO main 161573] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[2 INFO main 161674] Scout.GotoCenter -> Scout.Query | return to random walk
[2 INFO main 167581] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[2 INFO main 167982] Scout.GotoCenter -> Scout.Query | return to random walk
[2 INFO main 173588] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[2 INFO main 175591] Scout.GotoCenter -> Scout.Query | return to random walk
[2 INFO main 187707] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[2 INFO main 193614] Scout.GotoCenter -> Scout.Query | return to random walk
[2 INFO main 193716] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[2 INFO main 194016] Scout.GotoCenter -> Scout.Query | return to random walk
[2 INFO main 207735] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[2 INFO main 216145] Scout.GotoCenter -> Scout.Query | return to random walk
[2 INFO main 224857] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[2 INFO main 225357] Scout.GotoCenter -> Scout.Query | return to random walk
[2 INFO main 239980] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[2 INFO main 251093] Scout.GotoCenter -> Scout.Query | return to random walk
