ID TIME pos
3 0.1 [0, 0] [-0.4151936453729273, 0.22974086911812752]
3 5.108 [0, 0] [-0.4151936453729273, 0.22974086911812752]
3 10.114 [0, 0] [-0.4151936453729273, 0.22974086911812752]
3 15.12 [0, 0] [-0.4151936453729273, 0.22974086911812752]
3 20.126 [0, 0] [-0.4151936453729273, 0.22974086911812752]
3 25.133 [0, 0] [-0.4151936453729273, 0.22974086911812752]
3 30.141 [0, 0] [-0.4151936453729273, 0.22974086911812752]
3 35.147 [0, 0] [-0.4151936453729273, 0.22974086911812752]
3 40.153 [0, 0] [-0.4151936453729273, 0.22974086911812752]
3 45.159 [0, 0] [-0.4151936453729273, 0.22974086911812752]
3 50.167 [0, 0] [-0.4151936453729273, 0.22974086911812752]
3 55.173 [0, 0] [-0.4151936453729273, 0.22974086911812752]
3 60.177 [-0.51355, 0.17598000000000003] [-0.4151936453729273, 0.22974086911812752]
3 65.185 [-0.51355, 0.17598000000000003] [-0.4151936453729273, 0.22974086911812752]
3 70.192 [-0.51355, 0.17598000000000003] [-0.4151936453729273, 0.22974086911812752]
3 75.198 [-0.51355, 0.17598000000000003] [-0.4151936453729273, 0.22974086911812752]
3 80.203 [-0.62161, 0.15004000000000003] [-0.4151936453729273, 0.22974086911812752]
3 85.21 [-0.6104073166258314, 0.1919509122481109] [-0.4151936453729273, 0.22974086911812752]
3 90.216 [-0.6079698166258314, 0.19381216224811088] [-0.4151936453729273, 0.22974086911812752]
3 95.224 [-0.6175853925562946, 0.20783858866498747] [-0.4151936453729273, 0.22974086911812752]
3 100.231 [-0.61695094811185, 0.20931303310943195] [-0.4151936453729273, 0.22974086911812752]
3 105.236 [-0.616949837000739, 0.20931525533165413] [-0.4151936453729273, 0.22974086911812752]
3 110.239 [-0.616949837000739, 0.20931525533165413] [-0.4151936453729273, 0.22974086911812752]
3 115.246 [-0.6108887258896278, 0.2086130331094319] [-0.4151936453729273, 0.22974086911812752]
3 120.252 [-0.6047998533006651, 0.2009137297984887] [-0.4151936453729273, 0.22974086911812752]
3 125.258 [-0.6043778533006651, 0.20058672979848868] [-0.4151936453729273, 0.22974086911812752]
3 130.266 [-0.604357853300665, 0.20057272979848867] [-0.4151936453729273, 0.22974086911812752]
3 135.273 [-0.602737139364241, 0.20010066345317154] [-0.4151936453729273, 0.22974086911812752]
3 140.279 [-0.600511544417221, 0.19989477483207388] [-0.4151936453729273, 0.22974086911812752]
3 145.286 [-0.600764044417221, 0.19991727483207392] [-0.4151936453729273, 0.22974086911812752]
3 150.29 [-0.6007657110838877, 0.19990060816540725] [-0.4151936453729273, 0.22974086911812752]
3 155.297 [-0.6006132110838877, 0.1999414414987406] [-0.4151936453729273, 0.22974086911812752]
3 160.303 [-0.600611544417221, 0.19994227483207394] [-0.4151936453729273, 0.22974086911812752]
3 165.31 [-0.5976932110838876, 0.20007727483207394] [-0.4151936453729273, 0.22974086911812752]
3 170.317 [-0.5975007110838877, 0.2000239414987406] [-0.4151936453729273, 0.22974086911812752]
3 175.324 [-0.595324044417221, 0.1998864414987406] [-0.4151936453729273, 0.22974086911812752]
3 180.328 [-0.5950107110838877, 0.19977060816540726] [-0.4151936453729273, 0.22974086911812752]
3 185.337 [-0.5949682110838876, 0.19977477483207393] [-0.4151936453729273, 0.22974086911812752]
3 190.344 [-0.595251544417221, 0.1997406081654072] [-0.4151936453729273, 0.22974086911812752]
3 195.35 [-0.5931490444172208, 0.20092394149874057] [-0.4151936453729273, 0.22974086911812752]
3 200.355 [-0.5882929640774347, 0.2003405613834528] [-0.4151936453729273, 0.22974086911812752]
3 205.364 [-0.5883929640774347, 0.20038825369114516] [-0.4151936453729273, 0.22974086911812752]
