ID TIME pos
13 0.093 [0, 0] [0.445992151382498, 0.4043407707571747]
13 5.106 [0, 0] [0.445992151382498, 0.4043407707571747]
13 10.116 [0, 0] [0.445992151382498, 0.4043407707571747]
13 15.121 [0, 0] [0.445992151382498, 0.4043407707571747]
13 20.127 [0, 0] [0.445992151382498, 0.4043407707571747]
13 25.131 [0, 0] [0.445992151382498, 0.4043407707571747]
13 30.14 [0, 0] [0.445992151382498, 0.4043407707571747]
13 35.147 [0, 0] [0.445992151382498, 0.4043407707571747]
13 40.153 [0, 0] [0.445992151382498, 0.4043407707571747]
13 45.161 [0, 0] [0.445992151382498, 0.4043407707571747]
13 50.165 [0, 0] [0.445992151382498, 0.4043407707571747]
13 55.175 [0, 0] [0.445992151382498, 0.4043407707571747]
13 60.178 [0, 0] [0.445992151382498, 0.4043407707571747]
13 65.183 [0, 0] [0.445992151382498, 0.4043407707571747]
13 70.194 [0, 0] [0.445992151382498, 0.4043407707571747]
13 75.2 [0, 0] [0.445992151382498, 0.4043407707571747]
13 80.204 [0, 0] [0.445992151382498, 0.4043407707571747]
13 85.218 [0, 0] [0.445992151382498, 0.4043407707571747]
13 90.22 [0, 0] [0.445992151382498, 0.4043407707571747]
13 95.226 [0, 0] [0.445992151382498, 0.4043407707571747]
13 100.229 [0, 0] [0.445992151382498, 0.4043407707571747]
13 105.241 [0, 0] [0.445992151382498, 0.4043407707571747]
13 110.245 [0, 0] [0.445992151382498, 0.4043407707571747]
13 115.248 [0.47538499999999995, 0.42571499999999984] [0.445992151382498, 0.4043407707571747]
13 120.363 [0.47538499999999995, 0.42571499999999984] [0.445992151382498, 0.4043407707571747]
13 125.363 [0.47538499999999995, 0.42571499999999984] [0.445992151382498, 0.4043407707571747]
13 130.367 [0.47538499999999995, 0.42571499999999984] [0.445992151382498, 0.4043407707571747]
13 135.377 [0.47538499999999995, 0.42571499999999984] [0.445992151382498, 0.4043407707571747]
13 140.384 [0.47538499999999995, 0.42571499999999984] [0.445992151382498, 0.4043407707571747]
13 145.388 [0.47538499999999995, 0.42571499999999984] [0.445992151382498, 0.4043407707571747]
13 150.395 [0.47538499999999995, 0.42571499999999984] [0.445992151382498, 0.4043407707571747]
13 155.4 [0.47538499999999995, 0.42571499999999984] [0.445992151382498, 0.4043407707571747]
13 160.407 [0.47538499999999995, 0.42571499999999984] [0.445992151382498, 0.4043407707571747]
13 165.413 [0.47538499999999995, 0.42571499999999984] [0.445992151382498, 0.4043407707571747]
13 170.423 [0.47651, 0.41808999999999985] [0.445992151382498, 0.4043407707571747]
13 175.428 [0.4888175, 0.4106099999999999] [0.445992151382498, 0.4043407707571747]
13 180.44 [0.4874683333333332, 0.4109749999999999] [0.445992151382498, 0.4043407707571747]
13 185.442 [0.48735999999999996, 0.41084666666666664] [0.445992151382498, 0.4043407707571747]
13 190.447 [0.4873633333333333, 0.4108433333333333] [0.445992151382498, 0.4043407707571747]
13 195.451 [0.4873633333333333, 0.4108433333333333] [0.445992151382498, 0.4043407707571747]
13 200.465 [0.4873633333333333, 0.4108433333333333] [0.445992151382498, 0.4043407707571747]
13 205.466 [0.4873633333333333, 0.4108433333333333] [0.445992151382498, 0.4043407707571747]
13 210.476 [0.4870028571428571, 0.4098914285714286] [0.445992151382498, 0.4043407707571747]
13 215.48 [0.4888825, 0.40845375] [0.445992151382498, 0.4043407707571747]
13 220.484 [0.49002375, 0.41094250000000004] [0.445992151382498, 0.4043407707571747]
13 225.491 [0.49006, 0.4109825] [0.445992151382498, 0.4043407707571747]
13 230.496 [0.41318350428282774, 0.3741093926410961] [0.445992151382498, 0.4043407707571747]
13 235.502 [0.413325912984389, 0.37435217512826924] [0.445992151382498, 0.4043407707571747]
13 240.512 [0.4169729202356897, 0.3762878272009134] [0.445992151382498, 0.4043407707571747]
13 245.518 [0.4169870869023566, 0.37625116053424673] [0.445992151382498, 0.4043407707571747]
13 250.521 [0.42002577252525214, 0.37780337895468935] [0.445992151382498, 0.4043407707571747]
