ID TIME pos
13 0.095 [0, 0] [0.02365726219371922, -0.28167731602668533]
13 5.106 [0, 0] [0.02365726219371922, -0.28167731602668533]
13 10.116 [0, 0] [0.02365726219371922, -0.28167731602668533]
13 15.122 [0, 0] [0.02365726219371922, -0.28167731602668533]
13 20.133 [0, 0] [0.02365726219371922, -0.28167731602668533]
13 25.134 [0, 0] [0.02365726219371922, -0.28167731602668533]
13 30.139 [0, 0] [0.02365726219371922, -0.28167731602668533]
13 35.144 [0, 0] [0.02365726219371922, -0.28167731602668533]
13 40.155 [0, 0] [0.02365726219371922, -0.28167731602668533]
13 45.265 [0, 0] [0.02365726219371922, -0.28167731602668533]
13 50.266 [0, 0] [0.02365726219371922, -0.28167731602668533]
13 55.269 [0, 0] [0.02365726219371922, -0.28167731602668533]
13 60.277 [0, 0] [0.02365726219371922, -0.28167731602668533]
13 65.286 [0, 0] [0.02365726219371922, -0.28167731602668533]
13 70.29 [0, 0] [0.02365726219371922, -0.28167731602668533]
13 75.295 [-0.08614666666666666, -0.17497666666666664] [0.02365726219371922, -0.28167731602668533]
13 80.303 [-0.08109666666666666, -0.17681999999999998] [0.02365726219371922, -0.28167731602668533]
13 85.31 [-0.08029800000000002, -0.18064400000000003] [0.02365726219371922, -0.28167731602668533]
13 90.317 [-0.075865, -0.17903] [0.02365726219371922, -0.28167731602668533]
13 95.325 [-0.07607125, -0.17842124999999998] [0.02365726219371922, -0.28167731602668533]
13 100.33 [-0.07592666666666667, -0.17819333333333331] [0.02365726219371922, -0.28167731602668533]
13 105.334 [-0.07579500000000003, -0.180415] [0.02365726219371922, -0.28167731602668533]
13 110.341 [-0.07540727272727275, -0.18039363636363637] [0.02365726219371922, -0.28167731602668533]
13 115.347 [-0.07517363636363637, -0.1804709090909091] [0.02365726219371922, -0.28167731602668533]
13 120.357 [-0.07498272727272727, -0.18055] [0.02365726219371922, -0.28167731602668533]
13 125.459 [-0.07380272727272726, -0.1814181818181818] [0.02365726219371922, -0.28167731602668533]
13 130.464 [-0.07327636363636363, -0.18152454545454547] [0.02365726219371922, -0.28167731602668533]
13 135.469 [-0.07309545454545453, -0.18182454545454546] [0.02365726219371922, -0.28167731602668533]
13 140.477 [-0.07309545454545453, -0.18182454545454546] [0.02365726219371922, -0.28167731602668533]
