ID TIME pos
12 0.096 [0, 0] [-0.443937911857729, -0.544249679978258]
12 5.112 [0, 0] [-0.443937911857729, -0.544249679978258]
12 10.117 [0, 0] [-0.443937911857729, -0.544249679978258]
12 15.119 [0, 0] [-0.443937911857729, -0.544249679978258]
12 20.126 [0, 0] [-0.443937911857729, -0.544249679978258]
12 25.135 [0, 0] [-0.443937911857729, -0.544249679978258]
12 30.14 [0, 0] [-0.443937911857729, -0.544249679978258]
12 35.149 [0, 0] [-0.443937911857729, -0.544249679978258]
12 40.152 [0, 0] [-0.443937911857729, -0.544249679978258]
12 45.158 [0, 0] [-0.443937911857729, -0.544249679978258]
12 50.168 [0, 0] [-0.443937911857729, -0.544249679978258]
12 55.176 [0, 0] [-0.443937911857729, -0.544249679978258]
12 60.178 [0, 0] [-0.443937911857729, -0.544249679978258]
12 65.187 [0, 0] [-0.443937911857729, -0.544249679978258]
12 70.199 [0, 0] [-0.443937911857729, -0.544249679978258]
12 75.2 [0, 0] [-0.443937911857729, -0.544249679978258]
12 80.206 [0, 0] [-0.443937911857729, -0.544249679978258]
12 85.211 [0, 0] [-0.443937911857729, -0.544249679978258]
12 90.225 [0, 0] [-0.443937911857729, -0.544249679978258]
12 95.325 [0, 0] [-0.443937911857729, -0.544249679978258]
12 100.33 [0, 0] [-0.443937911857729, -0.544249679978258]
12 105.338 [0, 0] [-0.443937911857729, -0.544249679978258]
12 110.348 [0, 0] [-0.443937911857729, -0.544249679978258]
12 115.354 [0, 0] [-0.443937911857729, -0.544249679978258]
12 120.362 [0, 0] [-0.443937911857729, -0.544249679978258]
12 125.366 [0, 0] [-0.443937911857729, -0.544249679978258]
12 130.374 [0, 0] [-0.443937911857729, -0.544249679978258]
12 135.377 [0, 0] [-0.443937911857729, -0.544249679978258]
12 140.386 [0, 0] [-0.443937911857729, -0.544249679978258]
12 145.393 [0, 0] [-0.443937911857729, -0.544249679978258]
12 150.399 [0, 0] [-0.443937911857729, -0.544249679978258]
12 155.407 [0, 0] [-0.443937911857729, -0.544249679978258]
12 160.414 [0, 0] [-0.443937911857729, -0.544249679978258]
12 165.423 [0, 0] [-0.443937911857729, -0.544249679978258]
12 170.428 [0, 0] [-0.443937911857729, -0.544249679978258]
12 175.432 [-0.4427000000000001, -0.66188] [-0.443937911857729, -0.544249679978258]
12 180.44 [-0.4427000000000001, -0.66188] [-0.443937911857729, -0.544249679978258]
12 185.451 [-0.4427000000000001, -0.66188] [-0.443937911857729, -0.544249679978258]
12 190.455 [-0.4427000000000001, -0.66188] [-0.443937911857729, -0.544249679978258]
12 195.459 [-0.4427000000000001, -0.66188] [-0.443937911857729, -0.544249679978258]
12 200.466 [-0.4427000000000001, -0.66188] [-0.443937911857729, -0.544249679978258]
12 205.473 [-0.4427000000000001, -0.66188] [-0.443937911857729, -0.544249679978258]
