ID TIME pos
5 5.087 [-0.3846982528803191, -0.34550522994791333] []
5 10.135 [-0.3846982528803191, -0.34550522994791333] []
5 15.219 [-0.3846982528803191, -0.34550522994791333] []
5 20.265 [-0.3846982528803191, -0.34550522994791333] []
5 25.287 [-0.3846982528803191, -0.34550522994791333] []
5 60.979 [-0.3846982528803191, -0.34550522994791333] [(-49318, -38677, 1674638115, 0, 4, 40000000000000000000, 30000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -49773, -40351)]
5 93.355 [-0.3846982528803191, -0.34550522994791333] [(-48864, -37292, 1674638115, 0, 8, 80000000000000000000, 50000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -49884, -39557)]
5 98.826 [-0.3846982528803191, -0.34550522994791333] [(-48398, -36519, 1674638115, 0, 9, 90000000000000000000, 60000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -49015, -38020)]
5 103.914 [-0.3846982528803191, -0.34550522994791333] [(-48562, -36121, 1674638115, 0, 10, 100000000000000000000, 60000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -49015, -38020)]
5 109.121 [-0.3846982528803191, -0.34550522994791333] [(-48562, -36121, 1674638115, 0, 10, 100000000000000000000, 60000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -49015, -38020)]
5 114.188 [-0.3846982528803191, -0.34550522994791333] [(-47738, -36218, 1674638115, 0, 11, 110000000000000000000, 70000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47655, -37902)]
5 119.292 [-0.3846982528803191, -0.34550522994791333] [(-47738, -36218, 1674638115, 0, 11, 110000000000000000000, 70000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47655, -37902)]
5 124.316 [-0.3846982528803191, -0.34550522994791333] [(-47738, -36218, 1674638115, 0, 11, 110000000000000000000, 70000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47655, -37902)]
5 129.418 [-0.3846982528803191, -0.34550522994791333] [(-48065, -36230, 1674638115, 0, 12, 120000000000000000000, 70000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47655, -37902)]
5 134.473 [-0.3846982528803191, -0.34550522994791333] [(-48065, -36230, 1674638115, 0, 12, 120000000000000000000, 70000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47655, -37902)]
5 139.492 [-0.3846982528803191, -0.34550522994791333] [(-47985, -35518, 1674638115, 0, 13, 130000000000000000000, 80000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47576, -36537)]
5 149.568 [-0.3846982528803191, -0.34550522994791333] [(-47724, -35889, 1674638115, 0, 14, 140000000000000000000, 90000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47216, -37001)]
5 154.6 [-0.3846982528803191, -0.34550522994791333] [(-47724, -35889, 1674638115, 0, 14, 140000000000000000000, 90000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47216, -37001)]
5 159.626 [-0.3846982528803191, -0.34550522994791333] [(-47724, -35889, 1674638115, 0, 14, 140000000000000000000, 90000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47216, -37001)]
5 164.65 [-0.3846982528803191, -0.34550522994791333] [(-47724, -35889, 1674638115, 0, 14, 140000000000000000000, 90000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47216, -37001)]
5 169.713 [-0.3846982528803191, -0.34550522994791333] [(-47724, -35889, 1674638115, 0, 14, 140000000000000000000, 90000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47216, -37001)]
5 174.817 [-0.3846982528803191, -0.34550522994791333] [(-47724, -35889, 1674638115, 0, 14, 140000000000000000000, 90000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47216, -37001)]
5 184.81 [-0.3846982528803191, -0.34550522994791333] [(-47724, -35889, 1674638115, 0, 14, 140000000000000000000, 90000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47216, -37001)]
5 189.814 [-0.3846982528803191, -0.34550522994791333] [(-47724, -35889, 1674638115, 0, 14, 140000000000000000000, 90000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47216, -37001)]
5 199.801 [-0.3846982528803191, -0.34550522994791333] [(-47724, -35889, 1674638115, 0, 14, 140000000000000000000, 90000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47216, -37001)]
5 204.827 [-0.3846982528803191, -0.34550522994791333] [(-47724, -35889, 1674638115, 0, 14, 140000000000000000000, 90000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47216, -37001)]
5 209.841 [-0.3846982528803191, -0.34550522994791333] [(-47724, -35889, 1674638115, 0, 14, 140000000000000000000, 90000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47216, -37001)]
5 214.922 [-0.3846982528803191, -0.34550522994791333] [(-47724, -35889, 1674638115, 0, 14, 140000000000000000000, 90000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47216, -37001)]
5 219.927 [-0.3846982528803191, -0.34550522994791333] [(-47724, -35889, 1674638115, 0, 14, 140000000000000000000, 90000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47216, -37001)]
5 227.756 [-0.3846982528803191, -0.34550522994791333] [(-47724, -35889, 1674638115, 0, 14, 140000000000000000000, 90000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47216, -37001)]
5 232.781 [-0.3846982528803191, -0.34550522994791333] [(-47724, -35889, 1674638115, 0, 14, 140000000000000000000, 90000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47216, -37001)]
5 237.79 [-0.3846982528803191, -0.34550522994791333] [(-47724, -35889, 1674638115, 0, 14, 140000000000000000000, 90000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47216, -37001)]
5 242.876 [-0.3846982528803191, -0.34550522994791333] [(-47724, -35889, 1674638115, 0, 14, 140000000000000000000, 90000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47216, -37001)]
5 250.815 [-0.3846982528803191, -0.34550522994791333] [(-47724, -35889, 1674638115, 0, 14, 140000000000000000000, 90000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -47216, -37001)]
5 260.791 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 1, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071)]
5 265.898 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 2, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071), (-67891, -80052, 1674638348, 0, 1, 5000000000000000000, 5000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, -67891, -80052)]
5 290.827 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 2, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071), (-67891, -80052, 1674638348, 0, 1, 5000000000000000000, 5000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, -67891, -80052)]
5 316.126 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 2, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071), (-68114, -79676, 1674638348, 0, 5, 47500000000000000000, 5000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, -67891, -80052)]
5 321.187 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 2, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071), (-68152, -79524, 1674638348, 0, 6, 52500000000000000000, 5000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, -67891, -80052)]
5 326.199 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 2, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071), (-68152, -79524, 1674638348, 0, 6, 52500000000000000000, 5000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, -67891, -80052)]
5 331.28 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 2, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071), (-68234, -79052, 1674638348, 0, 7, 65000000000000000000, 5000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, -67891, -80052)]
5 336.299 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 2, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071), (-68234, -79052, 1674638348, 0, 7, 65000000000000000000, 5000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, -67891, -80052)]
5 346.378 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 2, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071), (-68234, -79052, 1674638348, 0, 7, 65000000000000000000, 5000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, -67891, -80052)]
5 351.413 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 2, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071), (-68371, -78457, 1674638348, 0, 8, 70000000000000000000, 10000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, -69023, -75392)]
5 356.519 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 2, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071), (-67793, -78750, 1674638348, 0, 9, 82500000000000000000, 10000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, -69023, -75392)]
5 361.595 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 2, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071), (-67771, -78685, 1674638348, 0, 10, 87500000000000000000, 10000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, -69023, -75392)]
5 366.791 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 2, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071), (-67771, -78685, 1674638348, 0, 10, 87500000000000000000, 10000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, -69023, -75392)]
5 371.815 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 2, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071), (-67794, -79102, 1674638348, 0, 11, 100000000000000000000, 10000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, -69023, -75392)]
5 376.846 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 2, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071), (-67794, -79102, 1674638348, 0, 11, 100000000000000000000, 10000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, -69023, -75392)]
5 381.887 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 2, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071), (-67794, -79102, 1674638348, 0, 11, 100000000000000000000, 10000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, -69023, -75392)]
5 386.988 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 2, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071), (-67794, -79102, 1674638348, 0, 11, 100000000000000000000, 10000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, -69023, -75392)]
5 395.543 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 2, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071), (-68002, -78943, 1674638348, 0, 12, 112500000000000000000, 10000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, -69023, -75392)]
5 400.587 [-0.3846982528803191, -0.34550522994791333] [(-47289, -35343, 1674638331, 2, 15, 150000000000000000000, 100000000000000000000, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 0, -46614, -36071), (-68002, -78943, 1674638348, 0, 12, 112500000000000000000, 10000000000000000000, 0, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, -69023, -75392)]
