ID TIME TPS RAM CPU
0 0.017 60 6.7 31.6
0 0.109 11 6.7 31.6
0 0.208 10 6.7 31.6
0 0.309 10 6.7 31.6
0 0.408 10 6.7 31.6
0 0.528 8 6.7 31.6
0 0.608 13 6.7 31.6
0 0.704 10 6.7 31.6
0 0.808 10 6.7 31.6
0 0.908 10 6.7 31.6
0 1.004 10 6.7 31.6
0 1.112 9 6.7 31.6
0 1.206 11 6.7 31.6
0 1.306 10 6.7 31.6
0 1.411 9 6.7 31.6
0 1.508 10 6.7 31.6
0 1.628 8 6.7 31.6
0 1.715 12 6.7 31.6
0 1.815 10 6.7 31.6
0 1.914 10 6.7 31.6
0 2.006 11 6.7 31.6
0 2.12 9 6.7 31.6
0 2.23 9 6.7 31.6
0 2.314 12 6.7 31.6
0 2.414 10 6.7 31.6
0 2.514 10 6.7 31.6
0 2.623 9 6.7 31.6
0 2.719 10 6.7 31.6
0 2.824 10 6.7 31.6
0 2.916 11 6.7 31.6
0 3.007 11 6.7 31.6
0 3.123 9 6.7 31.6
0 3.219 10 6.7 31.6
0 3.326 9 6.7 31.6
0 3.418 11 6.7 31.6
0 3.515 10 6.7 31.6
0 3.623 9 6.7 31.6
0 3.717 11 6.7 31.6
0 3.827 9 6.7 31.6
0 3.917 11 6.7 31.6
0 4.016 10 6.7 31.6
0 4.117 10 6.7 31.6
0 4.223 9 6.7 31.6
0 4.329 9 6.7 31.6
0 4.418 11 6.7 31.6
0 4.517 10 6.7 31.6
0 4.619 10 6.7 31.6
0 4.724 10 6.7 31.6
0 4.817 11 6.7 31.6
0 4.93 9 6.7 31.6
0 5.267 3 6.7 31.6
0 5.272 185 6.7 31.6
0 5.381 9 6.7 31.6
0 5.492 9 6.7 31.6
0 5.58 11 6.7 31.6
0 5.68 10 6.7 31.6
0 5.787 9 6.7 31.6
0 5.88 11 6.7 31.6
0 5.993 9 6.7 31.6
0 6.082 11 6.7 31.6
0 6.179 10 6.7 31.6
0 6.287 9 6.7 31.6
0 6.382 11 6.7 31.6
0 6.494 9 6.7 31.6
0 6.582 11 6.7 31.6
0 6.68 10 6.7 31.6
0 6.788 9 6.7 31.6
0 6.882 11 6.7 31.6
0 6.995 9 6.7 31.6
0 7.081 12 6.7 31.6
0 7.182 10 6.7 31.6
0 7.282 10 6.7 31.6
0 7.381 10 6.7 31.6
0 7.486 10 6.7 31.6
0 7.592 9 6.7 31.6
0 7.682 11 6.7 31.6
0 7.779 10 6.7 31.6
0 7.887 9 6.7 31.6
0 7.984 10 6.7 31.6
0 8.092 9 6.7 31.6
0 8.182 11 6.7 31.6
0 8.285 10 6.7 31.6
0 8.384 10 6.7 31.6
0 8.488 10 6.7 31.6
0 8.593 10 6.7 31.6
0 8.675 12 6.7 31.6
0 8.785 9 6.7 31.6
0 8.887 10 6.7 31.6
0 8.989 10 6.7 31.6
0 9.093 10 6.7 31.6
0 9.178 12 6.7 31.6
0 9.281 10 6.7 31.6
0 9.381 10 6.7 31.6
0 9.49 9 6.7 31.6
0 9.595 10 6.7 31.6
0 9.681 12 6.7 31.6
0 9.782 10 6.7 31.6
0 9.886 10 6.7 31.6
0 9.991 10 6.7 31.6
0 10.286 3 3.4 30.4
0 10.29 248 3.4 30.4
0 10.399 9 3.4 30.4
0 10.501 10 3.4 30.4
0 10.598 10 3.4 30.4
0 10.701 10 3.4 30.4
0 10.807 9 3.4 30.4
0 10.898 11 3.4 30.4
0 11.003 10 3.4 30.4
0 11.097 11 3.4 30.4
0 11.199 10 3.4 30.4
0 11.298 10 3.4 30.4
0 11.396 10 3.4 30.4
0 11.505 9 3.4 30.4
0 11.6 10 3.4 30.4
0 11.7 10 3.4 30.4
0 11.793 11 3.4 30.4
0 11.911 8 3.4 30.4
0 12.006 11 3.4 30.4
0 12.096 11 3.4 30.4
0 12.203 9 3.4 30.4
0 12.302 10 3.4 30.4
0 12.401 10 3.4 30.4
0 12.514 9 3.4 30.4
0 12.597 12 3.4 30.4
0 12.702 10 3.4 30.4
0 12.802 10 3.4 30.4
0 12.903 10 3.4 30.4
0 13.015 9 3.4 30.4
0 13.102 12 3.4 30.4
0 13.202 10 3.4 30.4
0 13.302 10 3.4 30.4
0 13.4 10 3.4 30.4
0 13.512 9 3.4 30.4
0 13.607 11 3.4 30.4
0 13.705 10 3.4 30.4
0 13.803 10 3.4 30.4
0 13.904 10 3.4 30.4
0 14.012 9 3.4 30.4
0 14.108 10 3.4 30.4
0 14.202 11 3.4 30.4
0 14.295 11 3.4 30.4
0 14.406 9 3.4 30.4
0 14.503 10 3.4 30.4
0 14.613 9 3.4 30.4
0 14.704 11 3.4 30.4
0 14.805 10 3.4 30.4
0 14.907 10 3.4 30.4
0 15.006 10 3.4 30.4
0 15.314 3 3.4 30.4
0 15.318 274 3.4 30.4
0 15.43 9 3.4 30.4
0 15.528 10 3.4 30.4
0 15.627 10 3.4 30.4
0 15.73 10 3.4 30.4
0 15.834 10 3.4 30.4
0 15.93 10 3.4 30.4
0 16.028 10 3.4 30.4
0 16.127 10 3.4 30.4
0 16.235 9 3.4 30.4
0 16.338 10 3.4 30.4
0 16.431 11 3.4 30.4
0 16.53 10 3.4 30.4
0 16.629 10 3.4 30.4
0 16.731 10 3.4 30.4
0 16.838 9 3.4 30.4
0 16.929 11 3.4 30.4
0 17.032 10 3.4 30.4
0 17.128 10 3.4 30.4
0 17.231 10 3.4 30.4
0 17.341 9 3.4 30.4
0 17.431 11 3.4 30.4
0 17.529 10 3.4 30.4
0 17.631 10 3.4 30.4
0 17.731 10 3.4 30.4
0 17.829 10 3.4 30.4
0 17.942 9 3.4 30.4
0 18.033 11 3.4 30.4
0 18.131 10 3.4 30.4
0 18.23 10 3.4 30.4
0 18.334 10 3.4 30.4
0 18.443 9 3.4 30.4
0 18.534 11 3.4 30.4
0 18.632 10 3.4 30.4
0 18.732 10 3.4 30.4
0 18.831 10 3.4 30.4
0 18.944 9 3.4 30.4
0 19.035 11 3.4 30.4
0 19.132 10 3.4 30.4
0 19.233 10 3.4 30.4
0 19.331 10 3.4 30.4
0 19.445 9 3.4 30.4
0 19.535 11 3.4 30.4
0 19.633 10 3.4 30.4
0 19.734 10 3.4 30.4
0 19.832 10 3.4 30.4
0 19.932 10 3.4 30.4
0 20.045 9 3.4 30.4
0 20.318 4 2.4 30.5
0 20.321 271 2.4 30.5
0 20.43 9 2.4 30.5
0 20.532 10 2.4 30.5
0 20.643 9 2.4 30.5
0 20.731 11 2.4 30.5
0 20.831 10 2.4 30.5
0 20.93 10 2.4 30.5
0 21.033 10 2.4 30.5
0 21.144 9 2.4 30.5
0 21.232 11 2.4 30.5
0 21.333 10 2.4 30.5
0 21.432 10 2.4 30.5
0 21.533 10 2.4 30.5
0 21.645 9 2.4 30.5
0 21.732 12 2.4 30.5
0 21.833 10 2.4 30.5
0 21.932 10 2.4 30.5
0 22.034 10 2.4 30.5
0 22.146 9 2.4 30.5
0 22.228 12 2.4 30.5
0 22.332 10 2.4 30.5
0 22.435 10 2.4 30.5
0 22.534 10 2.4 30.5
0 22.643 9 2.4 30.5
0 22.737 11 2.4 30.5
0 22.833 10 2.4 30.5
0 22.935 10 2.4 30.5
0 23.035 10 2.4 30.5
0 23.133 10 2.4 30.5
0 23.247 9 2.4 30.5
0 23.333 12 2.4 30.5
0 23.436 10 2.4 30.5
0 23.536 10 2.4 30.5
0 23.635 10 2.4 30.5
0 23.748 9 2.4 30.5
0 23.834 12 2.4 30.5
0 23.936 10 2.4 30.5
0 24.036 10 2.4 30.5
0 24.137 10 2.4 30.5
0 24.234 10 2.4 30.5
0 24.345 9 2.4 30.5
0 24.437 11 2.4 30.5
0 24.536 10 2.4 30.5
0 24.636 10 2.4 30.5
0 24.735 10 2.4 30.5
0 24.835 10 2.4 30.5
0 24.944 9 2.4 30.5
0 25.038 11 2.4 30.5
0 25.321 4 2.4 30.5
0 25.324 307 2.4 30.5
0 25.445 8 2.4 30.5
0 25.535 11 2.4 30.5
0 25.634 10 2.4 30.5
0 25.736 10 2.4 30.5
0 25.831 10 2.4 30.5
0 25.939 9 2.4 30.5
0 26.044 9 2.4 30.5
0 26.135 11 2.4 30.5
0 26.236 10 2.4 30.5
0 26.335 10 2.4 30.5
0 26.442 9 2.4 30.5
0 26.539 10 2.4 30.5
0 26.642 10 2.4 30.5
0 26.738 10 2.4 30.5
0 26.836 10 2.4 30.5
0 26.942 9 2.4 30.5
0 27.04 10 2.4 30.5
0 27.135 11 2.4 30.5
0 27.243 9 2.4 30.5
0 27.332 11 2.4 30.5
0 27.444 9 2.4 30.5
0 27.541 10 2.4 30.5
0 27.638 10 2.4 30.5
0 27.736 10 2.4 30.5
0 27.834 10 2.4 30.5
0 27.939 10 2.4 30.5
0 28.045 10 2.4 30.5
0 28.139 11 2.4 30.5
0 28.239 10 2.4 30.5
0 28.342 10 2.4 30.5
0 28.44 10 2.4 30.5
0 28.539 10 2.4 30.5
0 28.643 10 2.4 30.5
0 28.738 11 2.4 30.5
0 28.843 10 2.4 30.5
0 28.939 10 2.4 30.5
0 29.041 10 2.4 30.5
0 29.14 10 2.4 30.5
0 29.244 10 2.4 30.5
0 29.343 10 2.4 30.5
0 29.441 10 2.4 30.5
0 29.54 10 2.4 30.5
0 29.643 10 2.4 30.5
0 29.744 10 2.4 30.5
0 29.838 11 2.4 30.5
0 29.946 9 2.4 30.5
0 30.042 10 2.4 30.5
0 30.178 7 2.4 30.5
0 30.398 5 2.2 30.5
0 30.402 302 2.2 30.5
0 30.518 9 2.2 30.5
0 30.613 11 2.2 30.5
0 30.715 10 2.2 30.5
0 30.813 10 2.2 30.5
0 30.916 10 2.2 30.5
0 31.018 10 2.2 30.5
0 31.114 10 2.2 30.5
0 31.215 10 2.2 30.5
0 31.314 10 2.2 30.5
0 31.417 10 2.2 30.5
0 31.52 10 2.2 30.5
0 31.616 10 2.2 30.5
0 31.717 10 2.2 30.5
0 31.814 10 2.2 30.5
0 31.915 10 2.2 30.5
0 32.022 9 2.2 30.5
0 32.116 11 2.2 30.5
0 32.213 10 2.2 30.5
0 32.315 10 2.2 30.5
0 32.415 10 2.2 30.5
0 32.515 10 2.2 30.5
0 32.623 9 2.2 30.5
0 32.717 11 2.2 30.5
0 32.815 10 2.2 30.5
0 32.917 10 2.2 30.5
0 33.017 10 2.2 30.5
0 33.12 10 2.2 30.5
0 33.22 10 2.2 30.5
0 33.317 10 2.2 30.5
0 33.418 10 2.2 30.5
0 33.518 10 2.2 30.5
0 33.616 10 2.2 30.5
0 33.728 9 2.2 30.5
0 33.816 11 2.2 30.5
0 33.917 10 2.2 30.5
0 34.018 10 2.2 30.5
0 34.117 10 2.2 30.5
0 34.223 9 2.2 30.5
0 34.322 10 2.2 30.5
0 34.418 10 2.2 30.5
0 34.519 10 2.2 30.5
0 34.618 10 2.2 30.5
0 34.724 9 2.2 30.5
0 34.823 10 2.2 30.5
0 34.916 11 2.2 30.5
0 35.021 9 2.2 30.5
0 35.118 10 2.2 30.5
0 35.414 3 2.2 30.5
0 35.417 290 2.2 30.5
0 35.529 9 2.2 30.5
0 35.627 10 2.2 30.5
0 35.723 10 2.2 30.5
0 35.829 9 2.2 30.5
0 35.933 10 2.2 30.5
0 36.027 11 2.2 30.5
0 36.13 10 2.2 30.5
0 36.229 10 2.2 30.5
0 36.331 10 2.2 30.5
0 36.433 10 2.2 30.5
0 36.528 11 2.2 30.5
0 36.632 10 2.2 30.5
0 36.729 10 2.2 30.5
0 36.831 10 2.2 30.5
0 36.931 10 2.2 30.5
0 37.031 10 2.2 30.5
0 37.129 10 2.2 30.5
0 37.232 10 2.2 30.5
0 37.332 10 2.2 30.5
0 37.433 10 2.2 30.5
0 37.529 11 2.2 30.5
0 37.633 10 2.2 30.5
0 37.729 10 2.2 30.5
0 37.836 9 2.2 30.5
0 37.929 11 2.2 30.5
0 38.035 9 2.2 30.5
0 38.131 10 2.2 30.5
0 38.231 10 2.2 30.5
0 38.321 11 2.2 30.5
0 38.437 9 2.2 30.5
0 38.532 11 2.2 30.5
0 38.637 10 2.2 30.5
0 38.732 10 2.2 30.5
0 38.831 10 2.2 30.5
0 38.922 11 2.2 30.5
0 39.038 9 2.2 30.5
0 39.132 11 2.2 30.5
0 39.269 7 2.2 30.5
0 39.332 16 2.2 30.5
0 39.428 10 2.2 30.5
0 39.541 9 2.2 30.5
0 39.635 11 2.2 30.5
0 39.736 10 2.2 30.5
0 39.839 10 2.2 30.5
0 39.929 11 2.2 30.5
0 40.039 9 2.2 30.5
0 40.139 10 2.2 30.5
0 40.341 5 2.2 30.5
0 40.344 286 2.2 30.5
0 40.544 5 2.4 30.6
0 40.55 179 2.4 30.6
0 40.663 9 2.4 30.6
0 40.761 10 2.4 30.6
0 40.865 10 2.4 30.6
0 40.959 11 2.4 30.6
0 41.064 9 2.4 30.6
0 41.164 10 2.4 30.6
0 41.26 10 2.4 30.6
0 41.431 6 2.4 30.6
0 41.449 55 2.4 30.6
0 41.566 9 2.4 30.6
0 41.665 10 2.4 30.6
0 41.76 11 2.4 30.6
0 41.861 10 2.4 30.6
0 41.964 10 2.4 30.6
0 42.068 10 2.4 30.6
0 42.163 10 2.4 30.6
0 42.262 10 2.4 30.6
0 42.36 10 2.4 30.6
0 42.466 9 2.4 30.6
0 42.568 10 2.4 30.6
0 42.665 10 2.4 30.6
0 42.765 10 2.4 30.6
0 42.863 10 2.4 30.6
0 42.967 10 2.4 30.6
0 43.068 10 2.4 30.6
0 43.165 10 2.4 30.6
0 43.266 10 2.4 30.6
0 43.422 6 2.4 30.6
0 43.467 22 2.4 30.6
0 43.569 10 2.4 30.6
0 43.666 10 2.4 30.6
0 43.769 10 2.4 30.6
