ID TIME pos
13 5.224 [0.3019989530025341, -0.4101108368971562] []
13 10.24 [0.3019989530025341, -0.4101108368971562] []
13 15.251 [0.3019989530025341, -0.4101108368971562] []
13 20.408 [0.3019989530025341, -0.4101108368971562] []
13 25.472 [0.3019989530025341, -0.4101108368971562] []
13 30.543 [0.3019989530025341, -0.4101108368971562] []
13 35.549 [0.3019989530025341, -0.4101108368971562] []
13 40.567 [0.3019989530025341, -0.4101108368971562] []
13 45.62 [0.3019989530025341, -0.4101108368971562] []
13 50.739 [0.3019989530025341, -0.4101108368971562] []
13 55.745 [0.3019989530025341, -0.4101108368971562] [(22262, -28750, 1674837210, 0, 1, 10000000000000000000, 10000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 22262, -28750)]
13 111.237 [0.3019989530025341, -0.4101108368971562] [(22767, -29573, 1674837210, 0, 8, 80000000000000000000, 20000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 24909, -33011)]
13 162.239 [0.3019989530025341, -0.4101108368971562] [(22585, -29801, 1674837210, 0, 13, 130000000000000000000, 30000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 23532, -35213)]
13 167.266 [0.3019989530025341, -0.4101108368971562] [(22585, -29801, 1674837210, 0, 13, 130000000000000000000, 30000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 23532, -35213)]
13 172.378 [0.3019989530025341, -0.4101108368971562] [(22585, -29801, 1674837210, 0, 13, 130000000000000000000, 30000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 23532, -35213)]
13 177.433 [0.3019989530025341, -0.4101108368971562] [(22585, -29801, 1674837210, 0, 13, 130000000000000000000, 30000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 23532, -35213)]
13 182.484 [0.3019989530025341, -0.4101108368971562] [(22585, -29801, 1674837210, 0, 13, 130000000000000000000, 30000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 23532, -35213)]
13 187.506 [0.3019989530025341, -0.4101108368971562] [(22585, -29801, 1674837210, 0, 13, 130000000000000000000, 30000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 23532, -35213)]
13 192.514 [0.3019989530025341, -0.4101108368971562] [(22585, -29801, 1674837210, 0, 13, 130000000000000000000, 30000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 23532, -35213)]
13 197.542 [0.3019989530025341, -0.4101108368971562] [(22585, -29801, 1674837210, 0, 13, 130000000000000000000, 30000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 23532, -35213)]
13 202.579 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 207.619 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 212.653 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 217.687 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 222.729 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 227.748 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 232.798 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 237.921 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 242.993 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 248.048 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 253.064 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 258.14 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 263.182 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 268.251 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 273.273 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 278.285 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 283.382 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 288.518 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 293.572 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 298.605 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 303.617 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 308.822 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 313.879 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 318.893 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 323.998 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 329.056 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 334.067 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 339.084 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 344.107 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 349.192 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 354.278 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 359.307 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 364.423 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 369.556 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 374.65 [0.3019989530025341, -0.4101108368971562] [(23085, -30220, 1674837210, 0, 14, 140000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 379.671 [0.3019989530025341, -0.4101108368971562] [(23135, -30128, 1674837210, 2, 15, 150000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 384.784 [0.3019989530025341, -0.4101108368971562] [(23135, -30128, 1674837210, 2, 15, 150000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 389.859 [0.3019989530025341, -0.4101108368971562] [(23135, -30128, 1674837210, 2, 15, 150000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 394.913 [0.3019989530025341, -0.4101108368971562] [(23135, -30128, 1674837210, 2, 15, 150000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328)]
13 430.216 [0.3019989530025341, -0.4101108368971562] [(23135, -30128, 1674837210, 2, 15, 150000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328), (14717, 3869, 1674837561, 0, 1, 11818181818181818181, 11818181818181818181, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, 14717, 3869), (4363, -23040, 1674837566, 0, 1, 5000000000000000000, 5000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, 4363, -23040), (44373, -33066, 1674837577, 0, 1, 11818181818181818181, 11818181818181818181, 1, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 44373, -33066)]
13 476.627 [0.3019989530025341, -0.4101108368971562] [(23135, -30128, 1674837210, 2, 15, 150000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328), (14801, 3725, 1674837561, 0, 8, 80909090909090909086, 11818181818181818181, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, 14717, 3869), (4808, -22851, 1674837566, 0, 3, 28636363636363636362, 5000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, 4363, -23040), (44373, -33066, 1674837577, 0, 1, 11818181818181818181, 11818181818181818181, 1, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 44373, -33066), (29173, -42161, 1674837616, 0, 2, 16818181818181818181, 16818181818181818181, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 29173, -42161)]
13 503.498 [0.3019989530025341, -0.4101108368971562] [(23135, -30128, 1674837210, 2, 15, 150000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328), (14801, 3725, 1674837561, 0, 8, 80909090909090909086, 11818181818181818181, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, 14717, 3869), (4519, -22724, 1674837566, 0, 6, 46363636363636363635, 5000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, 4363, -23040), (44153, -33510, 1674837577, 0, 2, 17727272727272727272, 11818181818181818181, 1, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 44373, -33066), (32159, -42691, 1674837616, 0, 4, 31136363636363636362, 31136363636363636362, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 32159, -42691)]
13 508.538 [0.3019989530025341, -0.4101108368971562] [(23135, -30128, 1674837210, 2, 15, 150000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328), (14801, 3725, 1674837561, 0, 8, 80909090909090909086, 11818181818181818181, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, 14717, 3869), (4519, -22724, 1674837566, 0, 6, 46363636363636363635, 5000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, 4363, -23040), (44153, -33510, 1674837577, 0, 2, 17727272727272727272, 11818181818181818181, 1, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 44373, -33066), (32159, -42691, 1674837616, 0, 4, 31136363636363636362, 31136363636363636362, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 32159, -42691)]
13 513.553 [0.3019989530025341, -0.4101108368971562] [(23135, -30128, 1674837210, 2, 15, 150000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328), (14801, 3725, 1674837561, 0, 8, 80909090909090909086, 11818181818181818181, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, 14717, 3869), (4577, -22748, 1674837566, 0, 7, 48863636363636363635, 5000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, 4363, -23040), (44153, -33510, 1674837577, 0, 2, 17727272727272727272, 11818181818181818181, 1, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 44373, -33066), (32159, -42691, 1674837616, 0, 4, 31136363636363636362, 31136363636363636362, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 32159, -42691)]
13 518.623 [0.3019989530025341, -0.4101108368971562] [(23135, -30128, 1674837210, 2, 15, 150000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328), (14801, 3725, 1674837561, 0, 8, 80909090909090909086, 11818181818181818181, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, 14717, 3869), (4556, -22763, 1674837566, 0, 8, 51363636363636363635, 5000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, 4363, -23040), (44153, -33510, 1674837577, 0, 2, 17727272727272727272, 11818181818181818181, 1, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 44373, -33066), (32159, -42691, 1674837616, 0, 4, 31136363636363636362, 31136363636363636362, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 32159, -42691)]
13 595.907 [0.3019989530025341, -0.4101108368971562] [(23135, -30128, 1674837210, 2, 15, 150000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328), (14846, 3751, 1674837561, 0, 9, 83863636363636363631, 11818181818181818181, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, 14717, 3869), (4701, -22727, 1674837566, 0, 10, 63181818181818181817, 5000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, 4363, -23040), (43884, -33227, 1674837577, 0, 4, 25113636363636363636, 11818181818181818181, 1, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 44373, -33066), (30953, -40772, 1674837616, 0, 11, 61477272727272727271, 55568181818181818180, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 31049, -40708)]
13 616.619 [0.3019989530025341, -0.4101108368971562] [(23135, -30128, 1674837210, 2, 15, 150000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328), (14789, 3748, 1674837561, 0, 10, 86818181818181818176, 11818181818181818181, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, 14717, 3869), (4664, -22672, 1674837566, 0, 11, 66136363636363636362, 5000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, 4363, -23040), (44034, -33280, 1674837577, 0, 6, 27613636363636363636, 11818181818181818181, 1, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 44373, -33066), (31082, -40973, 1674837616, 0, 12, 64431818181818181816, 58522727272727272725, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 31182, -40934)]
13 638.436 [0.3019989530025341, -0.4101108368971562] [(23135, -30128, 1674837210, 2, 15, 150000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328), (14831, 3770, 1674837561, 0, 11, 89772727272727272721, 11818181818181818181, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, 14717, 3869), (4664, -22672, 1674837566, 0, 11, 66136363636363636362, 5000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, 4363, -23040), (44237, -33102, 1674837577, 0, 8, 32045454545454545454, 14772727272727272726, 1, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 44870, -32823), (31108, -40920, 1674837616, 0, 12, 64431818181818181816, 58522727272727272725, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 31209, -40876)]
13 659.336 [0.3019989530025341, -0.4101108368971562] [(23135, -30128, 1674837210, 2, 15, 150000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328), (14830, 3773, 1674837561, 0, 12, 90397727272727272721, 11818181818181818181, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, 14717, 3869), (4664, -22672, 1674837566, 0, 11, 66136363636363636362, 5000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, 4363, -23040), (44237, -33102, 1674837577, 0, 8, 32045454545454545454, 14772727272727272726, 1, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 44870, -32823), (31147, -41004, 1674837616, 0, 13, 65909090909090909089, 59999999999999999998, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 31245, -40971)]
13 664.427 [0.3019989530025341, -0.4101108368971562] [(23135, -30128, 1674837210, 2, 15, 150000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328), (14830, 3773, 1674837561, 0, 12, 90397727272727272721, 11818181818181818181, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, 14717, 3869), (4664, -22672, 1674837566, 0, 11, 66136363636363636362, 5000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, 4363, -23040), (44237, -33102, 1674837577, 0, 8, 32045454545454545454, 14772727272727272726, 1, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 44870, -32823), (31169, -41000, 1674837616, 0, 14, 67386363636363636362, 59999999999999999998, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 31245, -40971)]
13 669.458 [0.3019989530025341, -0.4101108368971562] [(23135, -30128, 1674837210, 2, 15, 150000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328), (14851, 3777, 1674837561, 0, 13, 91647727272727272721, 11818181818181818181, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, 14717, 3869), (4664, -22672, 1674837566, 0, 11, 66136363636363636362, 5000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, 4363, -23040), (44237, -33102, 1674837577, 0, 8, 32045454545454545454, 14772727272727272726, 1, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 44870, -32823), (31169, -41000, 1674837616, 0, 14, 67386363636363636362, 59999999999999999998, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 31245, -40971)]
13 674.47 [0.3019989530025341, -0.4101108368971562] [(23135, -30128, 1674837210, 2, 15, 150000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328), (14851, 3777, 1674837561, 0, 13, 91647727272727272721, 11818181818181818181, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, 14717, 3869), (4653, -22668, 1674837566, 0, 12, 66761363636363636362, 5000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, 4363, -23040), (44185, -33188, 1674837577, 0, 9, 34999999999999999999, 14772727272727272726, 1, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 44870, -32823), (31169, -41000, 1674837616, 0, 14, 67386363636363636362, 59999999999999999998, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 31245, -40971)]
13 679.542 [0.3019989530025341, -0.4101108368971562] [(23135, -30128, 1674837210, 2, 15, 150000000000000000000, 40000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 25046, -35328), (14851, 3777, 1674837561, 0, 13, 91647727272727272721, 11818181818181818181, 0, '0xDA8d2BAde16dd8a6a0Eb5563F4216047b2b24294', 0, 14717, 3869), (4653, -22668, 1674837566, 0, 12, 66761363636363636362, 5000000000000000000, 0, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 0, 4363, -23040), (44185, -33188, 1674837577, 0, 9, 34999999999999999999, 14772727272727272726, 1, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 0, 44870, -32823), (31215, -41073, 1674837616, 0, 14, 67386363636363636362, 59999999999999999998, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, 31295, -41054)]
