ID TIME pos
6 0.098 [0, 0] [-0.3627042145495745, -0.3886294839370129]
6 5.108 [0, 0] [-0.3627042145495745, -0.3886294839370129]
6 10.115 [0, 0] [-0.3627042145495745, -0.3886294839370129]
6 15.12 [0, 0] [-0.3627042145495745, -0.3886294839370129]
6 20.126 [0, 0] [-0.3627042145495745, -0.3886294839370129]
6 25.133 [0, 0] [-0.3627042145495745, -0.3886294839370129]
6 30.14 [0, 0] [-0.3627042145495745, -0.3886294839370129]
6 35.145 [0, 0] [-0.3627042145495745, -0.3886294839370129]
6 40.151 [0, 0] [-0.3627042145495745, -0.3886294839370129]
6 45.159 [0, 0] [-0.3627042145495745, -0.3886294839370129]
6 50.163 [0, 0] [-0.3627042145495745, -0.3886294839370129]
6 55.17 [0, 0] [-0.3627042145495745, -0.3886294839370129]
6 60.176 [0, 0] [-0.3627042145495745, -0.3886294839370129]
6 65.177 [0, 0] [-0.3627042145495745, -0.3886294839370129]
6 70.189 [-0.43276000000000003, -0.48724999999999996] [-0.3627042145495745, -0.3886294839370129]
6 75.196 [-0.458025, -0.50808] [-0.3627042145495745, -0.3886294839370129]
6 80.203 [-0.458025, -0.50808] [-0.3627042145495745, -0.3886294839370129]
6 85.208 [-0.4283125, -0.49582249999999994] [-0.3627042145495745, -0.3886294839370129]
6 90.215 [-0.4388441805949236, -0.46097624446164925] [-0.3627042145495745, -0.3886294839370129]
6 95.22 [-0.4399186580205582, -0.4627492139039431] [-0.3627042145495745, -0.3886294839370129]
6 100.227 [-0.43982615802055813, -0.4627454639039431] [-0.3627042145495745, -0.3886294839370129]
6 105.233 [-0.43979365802055814, -0.46270921390394315] [-0.3627042145495745, -0.3886294839370129]
6 110.333 [-0.4405611580205582, -0.46273296390394314] [-0.3627042145495745, -0.3886294839370129]
6 115.339 [-0.4405961580205582, -0.4627342139039431] [-0.3627042145495745, -0.3886294839370129]
6 120.347 [-0.43953880712938503, -0.4631893012479494] [-0.3627042145495745, -0.3886294839370129]
6 125.354 [-0.4395465849071628, -0.4631893012479494] [-0.3627042145495745, -0.3886294839370129]
6 130.36 [-0.43923102935160724, -0.4622059679146161] [-0.3627042145495745, -0.3886294839370129]
6 135.367 [-0.43840692641644646, -0.4637553711231545] [-0.3627042145495745, -0.3886294839370129]
6 140.378 [-0.43840092641644646, -0.46379237112315447] [-0.3627042145495745, -0.3886294839370129]
6 145.379 [-0.43840092641644646, -0.4637893711231545] [-0.3627042145495745, -0.3886294839370129]
6 150.386 [-0.43840092641644646, -0.4637893711231545] [-0.3627042145495745, -0.3886294839370129]
6 155.393 [-0.43840092641644646, -0.4637893711231545] [-0.3627042145495745, -0.3886294839370129]
6 160.398 [-0.43840092641644646, -0.4637893711231545] [-0.3627042145495745, -0.3886294839370129]
6 165.404 [-0.43840092641644646, -0.4637893711231545] [-0.3627042145495745, -0.3886294839370129]
6 170.412 [-0.43840092641644646, -0.4637893711231545] [-0.3627042145495745, -0.3886294839370129]
6 175.419 [-0.43840092641644646, -0.4637893711231545] [-0.3627042145495745, -0.3886294839370129]
6 180.425 [-0.43840092641644646, -0.4637893711231545] [-0.3627042145495745, -0.3886294839370129]
6 185.43 [-0.43840092641644646, -0.4637893711231545] [-0.3627042145495745, -0.3886294839370129]
6 190.436 [-0.43843592641644646, -0.4637673711231545] [-0.3627042145495745, -0.3886294839370129]
6 195.443 [-0.4384889264164465, -0.4636953711231545] [-0.3627042145495745, -0.3886294839370129]
6 200.449 [-0.4384889264164465, -0.46369437112315454] [-0.3627042145495745, -0.3886294839370129]
6 205.455 [-0.4408399331058605, -0.4632557919301405] [-0.3627042145495745, -0.3886294839370129]
6 210.462 [-0.44082720583313323, -0.4632367010210496] [-0.3627042145495745, -0.3886294839370129]
6 215.468 [-0.44075910534703877, -0.4634244759359621] [-0.3627042145495745, -0.3886294839370129]
