[5 INFO main 29] Initialising Python Geth Console...
[5 INFO main 33] Initialising RandB board...
[5 INFO main 33] Initialising navigation...
[5 INFO main 33] Initialising random-walk...
[5 INFO main 33] Initialising odometry...
[5 INFO main 33] Initialising ground-sensors...
[5 INFO main 1413] --//-- Starting Experiment --//--
[5 INFO main 2513] Idle.IDLE -> Scout.Query | Duration: 21.65
[5 INFO main 9726] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[5 INFO main 30546] Scout.GotoCenter -> Scout.Query | return to random walk
[5 INFO main 31354] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[5 INFO main 31453] Scout.GotoCenter -> Scout.Query | return to random walk
[5 INFO main 32355] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[5 INFO main 33053] Scout.GotoCenter -> Scout.Query | return to random walk
[5 INFO main 33460] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[5 INFO main 33854] Scout.GotoCenter -> Scout.Query | return to random walk
[5 INFO main 34556] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[5 INFO main 34655] Scout.GotoCenter -> Scout.Query | return to random walk
[5 INFO main 35657] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[5 INFO main 35756] Scout.GotoCenter -> Scout.Query | return to random walk
[5 INFO main 36658] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[5 INFO main 36858] Scout.GotoCenter -> Scout.Query | return to random walk
[5 INFO main 37658] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[5 INFO main 39065] Scout.GotoCenter -> Scout.Query | return to random walk
[5 INFO main 39661] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[5 INFO main 39962] Scout.GotoCenter -> Scout.Query | return to random walk
[5 INFO main 39962] Scout.Query -> Scout.Query | return to random walk
