ID TIME pos
9 0.097 [0, 0] [0.4514688196983951, 0.4391248372732914]
9 5.105 [0, 0] [0.4514688196983951, 0.4391248372732914]
9 10.117 [0, 0] [0.4514688196983951, 0.4391248372732914]
9 15.219 [0, 0] [0.4514688196983951, 0.4391248372732914]
9 20.325 [0, 0] [0.4514688196983951, 0.4391248372732914]
9 25.33 [0, 0] [0.4514688196983951, 0.4391248372732914]
9 30.337 [0, 0] [0.4514688196983951, 0.4391248372732914]
9 35.343 [0, 0] [0.4514688196983951, 0.4391248372732914]
9 40.353 [0, 0] [0.4514688196983951, 0.4391248372732914]
9 45.458 [0, 0] [0.4514688196983951, 0.4391248372732914]
9 50.462 [0, 0] [0.4514688196983951, 0.4391248372732914]
9 55.472 [0, 0] [0.4514688196983951, 0.4391248372732914]
9 60.475 [0, 0] [0.4514688196983951, 0.4391248372732914]
9 65.49 [0, 0] [0.4514688196983951, 0.4391248372732914]
9 70.491 [0, 0] [0.4514688196983951, 0.4391248372732914]
9 75.497 [0, 0] [0.4514688196983951, 0.4391248372732914]
9 80.504 [0.3893900000000001, 0.34357000000000015] [0.4514688196983951, 0.4391248372732914]
9 85.508 [0.3893900000000001, 0.34357000000000015] [0.4514688196983951, 0.4391248372732914]
9 90.514 [0.3893900000000001, 0.34357000000000015] [0.4514688196983951, 0.4391248372732914]
9 95.523 [0.3893900000000001, 0.34357000000000015] [0.4514688196983951, 0.4391248372732914]
9 100.53 [0.379545, 0.36758] [0.4514688196983951, 0.4391248372732914]
9 105.537 [0.379545, 0.36758] [0.4514688196983951, 0.4391248372732914]
9 110.541 [0.379545, 0.36758] [0.4514688196983951, 0.4391248372732914]
9 115.552 [0.379545, 0.36758] [0.4514688196983951, 0.4391248372732914]
9 120.556 [0.379545, 0.36758] [0.4514688196983951, 0.4391248372732914]
9 125.561 [0.379545, 0.36758] [0.4514688196983951, 0.4391248372732914]
9 130.572 [0.379545, 0.36758] [0.4514688196983951, 0.4391248372732914]
9 135.576 [0.379545, 0.36758] [0.4514688196983951, 0.4391248372732914]
9 140.582 [0.379545, 0.36758] [0.4514688196983951, 0.4391248372732914]
9 145.593 [0.379545, 0.36758] [0.4514688196983951, 0.4391248372732914]
