[9 INFO main 51] Initialising Python Geth Console...
[9 INFO main 55] Initialising RandB board...
[9 INFO main 55] Initialising navigation...
[9 INFO main 55] Initialising random-walk...
[9 INFO main 55] Initialising odometry...
[9 INFO main 55] Initialising ground-sensors...
[9 INFO main 787] --//-- Starting Experiment --//--
[9 INFO main 1887] Idle.IDLE -> Scout.Query | Duration: 22.88
[9 INFO main 10299] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[9 INFO main 11103] Scout.GotoCenter -> Scout.Query | return to random walk
[9 INFO main 11401] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[9 INFO main 12607] Scout.GotoCenter -> Scout.Query | return to random walk
[9 INFO main 13408] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[9 INFO main 14805] Scout.GotoCenter -> Scout.Query | return to random walk
[9 INFO main 15510] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[9 INFO main 15709] Scout.GotoCenter -> Scout.Query | return to random walk
[9 INFO main 16608] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[9 INFO main 16808] Scout.GotoCenter -> Scout.Query | return to random walk
[9 INFO main 17610] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[9 INFO main 19914] Scout.GotoCenter -> Scout.Query | return to random walk
[9 INFO main 20714] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[9 INFO main 25613] Scout.GotoCenter -> Scout.Query | return to random walk
[9 INFO main 25821] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[9 INFO main 26719] Scout.GotoCenter -> Scout.Query | return to random walk
[9 INFO main 26823] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[9 INFO main 27026] Scout.GotoCenter -> Scout.Query | return to random walk
[9 INFO main 27924] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[9 INFO main 31325] Scout.GotoCenter -> Scout.Query | return to random walk
[9 INFO main 31326] Scout.Query -> Scout.Query | return to random walk
