ID TIME pos
9 1.211 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
9 6.218 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.33785, -0.36379000000000006], [0, 0], [0, 0], [0, 0]]
9 11.226 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[0, 0], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.33785, -0.36379000000000006], [0, 0], [0, 0], [0, 0]]
9 16.233 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.33785, -0.36379000000000006], [0, 0], [0, 0], [0, 0]]
9 21.24 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.33785, -0.36379000000000006], [0, 0], [0, 0], [0, 0]]
9 26.346 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.33785, -0.36379000000000006], [0, 0], [0, 0], [0, 0]]
9 31.355 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.33785, -0.36379000000000006], [0, 0], [0, 0], [0, 0]]
9 36.363 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.33785, -0.36379000000000006], [0, 0], [0, 0], [0, 0]]
9 41.37 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.33785, -0.36379000000000006], [0, 0], [0, 0], [0, 0]]
9 46.379 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.33785, -0.36379000000000006], [0, 0], [0, 0], [0, 0]]
9 51.385 [-0.33311766364641004, -0.4385322199154328] [-0.38390689975849596, -0.3823912073041463] [[-0.43084999999999996, -0.40867999999999993], [-0.3327899999999999, -0.45026999999999995], [0, 0], [0, 0], [-0.27370000000000005, -0.1329499999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.7277100000000001, -0.37193999999999994], [-0.33785, -0.36379000000000006], [0, 0], [0, 0], [0, 0]]
