ID TIME pos
1 1.205 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
1 6.212 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
1 11.22 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
1 16.228 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
1 21.236 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
1 26.244 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
1 31.252 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
1 36.26 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
1 41.269 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
1 46.276 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
1 51.285 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
1 56.293 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 61.3 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 66.308 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 71.416 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 76.425 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 81.433 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 86.441 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 91.45 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3382100000000001, -0.6014999999999999], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 96.457 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3382100000000001, -0.6014999999999999], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 101.466 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3382100000000001, -0.6014999999999999], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 106.473 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3382100000000001, -0.6014999999999999], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 111.482 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3382100000000001, -0.6014999999999999], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 116.489 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3382100000000001, -0.6014999999999999], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
