ID TIME pos
1 5.042 [0.4074668990529544, 0.3216735600171104] []
1 10.113 [0.4074668990529544, 0.3216735600171104] []
1 15.135 [0.4074668990529544, 0.3216735600171104] []
1 20.152 [0.4074668990529544, 0.3216735600171104] []
1 25.204 [0.4074668990529544, 0.3216735600171104] []
1 30.213 [0.4074668990529544, 0.3216735600171104] []
1 35.278 [0.4074668990529544, 0.3216735600171104] []
1 40.355 [0.4074668990529544, 0.3216735600171104] []
1 45.441 [0.4074668990529544, 0.3216735600171104] []
1 50.516 [0.4074668990529544, 0.3216735600171104] []
1 55.606 [0.4074668990529544, 0.3216735600171104] []
1 60.659 [0.4074668990529544, 0.3216735600171104] []
1 65.716 [0.4074668990529544, 0.3216735600171104] []
1 70.773 [0.4074668990529544, 0.3216735600171104] []
1 75.781 [0.4074668990529544, 0.3216735600171104] []
1 80.831 [0.4074668990529544, 0.3216735600171104] [(34138, 24241, 1676641714, 0, 1, 10000000000000000000, 10000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 34138, 24241)]
1 99.24 [0.4074668990529544, 0.3216735600171104] [(34185, 30934, 1676641714, 0, 3, 30000000000000000000, 30000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 34185, 30934), (11771, 82584, 1676641746, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 11771, 82584)]
1 129.978 [0.4074668990529544, 0.3216735600171104] [(38725, 30172, 1676641714, 0, 8, 80000000000000000000, 70000000000000000000, 1, '0x5c5f829C4c3E8C4AB97390cb053a456616c27Ea3', 0, 39349, 31011), (11771, 82584, 1676641746, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 0, 11771, 82584)]
