ID TIME pos
4 5.099 [0.4491111638869735, -0.4177785974369984] []
4 10.123 [0.4491111638869735, -0.4177785974369984] []
4 15.196 [0.4491111638869735, -0.4177785974369984] []
4 20.226 [0.4491111638869735, -0.4177785974369984] []
4 25.299 [0.4491111638869735, -0.4177785974369984] []
4 30.326 [0.4491111638869735, -0.4177785974369984] []
4 35.351 [0.4491111638869735, -0.4177785974369984] []
4 40.389 [0.4491111638869735, -0.4177785974369984] []
4 45.484 [0.4491111638869735, -0.4177785974369984] [(10698, -33400, 1676646189, 0, 1, 10000000000000000000, 10000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 10698, -33400)]
4 81.332 [0.4491111638869735, -0.4177785974369984] [(23840, -36271, 1676646197, 0, 5, 50000000000000000000, 30000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 32414, -38824)]
4 126.98 [0.4491111638869735, -0.4177785974369984] [(17546, -34781, 1676646197, 2, 10, 100000000000000000000, 30000000000000000000, 0, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 0, 32414, -38824), (64198, -87935, 1676646261, 0, 1, 12142857142857142000, 12142857142857142000, 0, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 0, 64198, -87935)]
