ID TIME TPS RAM CPU
0 0.021 47 6.7 19.8
0 0.106 12 6.7 19.8
0 0.207 10 6.7 19.8
0 0.307 10 6.7 19.8
0 0.406 10 6.7 19.8
0 0.513 9 6.7 19.8
0 0.619 9 6.7 19.8
0 0.707 11 6.7 19.8
0 0.806 10 6.7 19.8
0 0.905 10 6.7 19.8
0 1.019 9 6.7 19.8
0 1.105 12 6.7 19.8
0 1.213 9 6.7 19.8
0 1.308 10 6.7 19.8
0 1.407 10 6.7 19.8
0 1.513 9 6.7 19.8
0 1.62 9 6.7 19.8
0 1.708 11 6.7 19.8
0 1.817 9 6.7 19.8
0 1.91 11 6.7 19.8
0 2.012 10 6.7 19.8
0 2.111 10 6.7 19.8
0 2.225 9 6.7 19.8
0 2.311 12 6.7 19.8
0 2.418 9 6.7 19.8
0 2.511 11 6.7 19.8
0 2.612 10 6.7 19.8
0 2.72 9 6.7 19.8
0 2.819 10 6.7 19.8
0 2.911 11 6.7 19.8
0 3.017 9 6.7 19.8
0 3.114 10 6.7 19.8
0 3.222 9 6.7 19.8
0 3.323 10 6.7 19.8
0 3.414 11 6.7 19.8
0 3.52 9 6.7 19.8
0 3.616 10 6.7 19.8
0 3.715 10 6.7 19.8
0 3.827 9 6.7 19.8
0 3.914 11 6.7 19.8
0 4.023 9 6.7 19.8
0 4.114 11 6.7 19.8
0 4.215 10 6.7 19.8
0 4.317 10 6.7 19.8
0 4.425 9 6.7 19.8
0 4.516 11 6.7 19.8
0 4.62 10 6.7 19.8
0 4.721 10 6.7 19.8
0 4.817 10 6.7 19.8
0 4.929 9 6.7 19.8
0 5.336 2 6.7 19.8
0 5.34 243 6.7 19.8
0 5.455 9 6.7 19.8
0 5.546 11 6.7 19.8
0 5.645 10 6.7 19.8
0 5.744 10 6.7 19.8
0 5.853 9 6.7 19.8
0 5.946 11 6.7 19.8
0 6.053 9 6.7 19.8
0 6.146 11 6.7 19.8
0 6.245 10 6.7 19.8
0 6.352 9 6.7 19.8
0 6.447 10 6.7 19.8
0 6.555 9 6.7 19.8
0 6.648 11 6.7 19.8
0 6.744 10 6.7 19.8
0 6.846 10 6.7 19.8
0 6.954 9 6.7 19.8
0 7.045 11 6.7 19.8
0 7.156 9 6.7 19.8
0 7.245 11 6.7 19.8
0 7.347 10 6.7 19.8
0 7.456 9 6.7 19.8
0 7.546 11 6.7 19.8
0 7.657 9 6.7 19.8
0 7.747 11 6.7 19.8
0 7.849 10 6.7 19.8
0 7.959 9 6.7 19.8
0 8.047 11 6.7 19.8
0 8.152 10 6.7 19.8
0 8.252 10 6.7 19.8
0 8.349 10 6.7 19.8
0 8.454 10 6.7 19.8
0 8.556 10 6.7 19.8
0 8.652 10 6.7 19.8
0 8.756 10 6.7 19.8
0 8.848 11 6.7 19.8
0 8.953 10 6.7 19.8
0 9.058 10 6.7 19.8
0 9.151 11 6.7 19.8
0 9.251 10 6.7 19.8
0 9.357 9 6.7 19.8
0 9.453 10 6.7 19.8
0 9.551 10 6.7 19.8
0 9.657 9 6.7 19.8
0 9.752 11 6.7 19.8
0 9.851 10 6.7 19.8
0 9.96 9 6.7 19.8
0 10.132 6 3.6 19.1
0 10.335 5 3.6 19.1
0 10.339 235 3.6 19.1
0 10.447 9 3.6 19.1
0 10.551 10 3.6 19.1
0 10.645 11 3.6 19.1
0 10.744 10 3.6 19.1
0 10.852 9 3.6 19.1
0 10.946 11 3.6 19.1
0 11.046 10 3.6 19.1
0 11.148 10 3.6 19.1
0 11.245 10 3.6 19.1
0 11.356 9 3.6 19.1
0 11.444 11 3.6 19.1
0 11.55 10 3.6 19.1
0 11.652 10 3.6 19.1
0 11.745 11 3.6 19.1
0 11.854 9 3.6 19.1
0 11.948 11 3.6 19.1
0 12.047 10 3.6 19.1
0 12.148 10 3.6 19.1
0 12.25 10 3.6 19.1
0 12.354 10 3.6 19.1
0 12.448 11 3.6 19.1
0 12.549 10 3.6 19.1
0 12.652 10 3.6 19.1
0 12.75 10 3.6 19.1
0 12.981 4 3.6 19.1
0 12.987 184 3.6 19.1
0 13.097 9 3.6 19.1
0 13.198 10 3.6 19.1
0 13.302 10 3.6 19.1
0 13.395 11 3.6 19.1
0 13.501 9 3.6 19.1
0 13.593 11 3.6 19.1
0 13.695 10 3.6 19.1
0 13.793 10 3.6 19.1
0 13.898 10 3.6 19.1
0 14.002 10 3.6 19.1
0 14.093 11 3.6 19.1
0 14.195 10 3.6 19.1
0 14.296 10 3.6 19.1
0 14.401 9 3.6 19.1
0 14.496 11 3.6 19.1
0 14.604 9 3.6 19.1
0 14.695 11 3.6 19.1
0 14.796 10 3.6 19.1
0 14.902 9 3.6 19.1
0 15.053 7 3.6 19.1
0 15.426 3 3.6 19.1
0 15.434 127 3.6 19.1
0 15.538 10 3.6 19.1
0 15.637 10 3.6 19.1
0 15.741 10 3.6 19.1
0 15.841 10 3.6 19.1
0 15.954 9 3.6 19.1
0 16.039 12 3.6 19.1
0 16.137 10 3.6 19.1
0 16.243 9 3.6 19.1
0 16.338 10 3.6 19.1
0 16.444 9 3.6 19.1
0 16.551 9 3.6 19.1
0 16.638 11 3.6 19.1
0 16.743 10 3.6 19.1
0 16.84 10 3.6 19.1
0 16.942 10 3.6 19.1
0 17.113 6 3.6 19.1
0 17.141 36 3.6 19.1
0 17.245 10 3.6 19.1
0 17.343 10 3.6 19.1
0 17.445 10 3.6 19.1
0 17.544 10 3.6 19.1
0 17.654 9 3.6 19.1
0 17.742 11 3.6 19.1
0 17.845 10 3.6 19.1
0 17.944 10 3.6 19.1
0 18.046 10 3.6 19.1
0 18.147 10 3.6 19.1
0 18.25 10 3.6 19.1
0 18.346 10 3.6 19.1
0 18.446 10 3.6 19.1
0 18.544 10 3.6 19.1
0 18.649 10 3.6 19.1
0 18.752 10 3.6 19.1
0 18.845 11 3.6 19.1
0 18.948 10 3.6 19.1
0 19.045 10 3.6 19.1
0 19.254 5 3.6 19.1
0 19.271 59 3.6 19.1
0 19.372 10 3.6 19.1
0 19.471 10 3.6 19.1
0 19.567 10 3.6 19.1
0 19.665 10 3.6 19.1
0 19.78 9 3.6 19.1
0 19.868 11 3.6 19.1
0 19.969 10 3.6 19.1
0 20.068 10 3.6 19.1
0 20.489 2 2.8 19.2
0 20.499 97 2.8 19.2
0 20.604 10 2.8 19.2
0 20.703 10 2.8 19.2
0 20.805 10 2.8 19.2
0 20.905 10 2.8 19.2
0 21.015 9 2.8 19.2
0 21.104 11 2.8 19.2
0 21.31 5 2.8 19.2
0 21.321 93 2.8 19.2
0 21.438 9 2.8 19.2
0 21.53 11 2.8 19.2
0 21.627 10 2.8 19.2
0 21.724 10 2.8 19.2
0 21.828 10 2.8 19.2
0 21.926 10 2.8 19.2
0 22.035 9 2.8 19.2
0 22.123 11 2.8 19.2
0 22.227 10 2.8 19.2
0 22.327 10 2.8 19.2
0 22.428 10 2.8 19.2
0 22.528 10 2.8 19.2
0 22.632 10 2.8 19.2
0 22.726 11 2.8 19.2
0 22.826 10 2.8 19.2
0 22.926 10 2.8 19.2
0 23.032 9 2.8 19.2
0 23.137 10 2.8 19.2
0 23.328 5 2.8 19.2
0 23.339 95 2.8 19.2
0 23.444 9 2.8 19.2
0 23.548 10 2.8 19.2
0 23.651 10 2.8 19.2
0 23.748 10 2.8 19.2
0 23.845 10 2.8 19.2
0 23.943 10 2.8 19.2
0 24.046 10 2.8 19.2
0 24.154 9 2.8 19.2
0 24.243 11 2.8 19.2
0 24.343 10 2.8 19.2
0 24.444 10 2.8 19.2
0 24.545 10 2.8 19.2
0 24.654 9 2.8 19.2
0 24.743 11 2.8 19.2
0 24.843 10 2.8 19.2
0 24.947 10 2.8 19.2
0 25.046 10 2.8 19.2
0 25.156 9 2.8 19.2
0 25.561 2 2.8 19.2
0 25.569 132 2.8 19.2
0 25.687 8 2.8 19.2
