ID TIME pos
15 1.215 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
15 6.32 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
15 11.423 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
15 16.532 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
15 21.539 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
15 26.744 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
15 31.751 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
15 36.759 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18320999999999987, 0.3761899999999998], [0, 0], [0, 0], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 41.864 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18320999999999987, 0.3761899999999998], [0, 0], [0, 0], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 46.872 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18320999999999987, 0.3761899999999998], [0, 0], [0, 0], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 51.879 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18320999999999987, 0.3761899999999998], [0, 0], [0, 0], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 56.887 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18320999999999987, 0.3761899999999998], [0, 0], [0, 0], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 61.894 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18320999999999987, 0.3761899999999998], [0, 0], [0, 0], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 66.902 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18320999999999987, 0.3761899999999998], [0, 0], [0, 0], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 71.909 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18320999999999987, 0.3761899999999998], [0, 0], [0, 0], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 76.916 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18320999999999987, 0.3761899999999998], [0, 0], [0, 0], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 81.923 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18320999999999987, 0.3761899999999998], [0, 0], [0, 0], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 86.931 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18320999999999987, 0.3761899999999998], [0, 0], [0, 0], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 91.939 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0, 0], [0.18320999999999987, 0.3761899999999998], [0, 0], [0, 0], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 96.946 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0, 0], [0.18320999999999987, 0.3761899999999998], [0, 0], [0, 0], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 101.954 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0, 0], [0.18320999999999987, 0.3761899999999998], [0, 0], [0, 0], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 106.961 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.37764, 0.32765999999999984], [0, 0], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0, 0], [0.18320999999999987, 0.3761899999999998], [0, 0], [0, 0], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 111.969 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.37764, 0.32765999999999984], [0, 0], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0, 0], [0.18320999999999987, 0.3761899999999998], [0, 0], [0, 0], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 116.977 [0.23411016008297605, 0.3226380829731789] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.37764, 0.32765999999999984], [0, 0], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.3205800000000001, 0.35474000000000006], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.27055000000000007, 0.3433700000000002], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 121.986 [0.23411016008297605, 0.3226380829731789] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.37764, 0.32765999999999984], [0, 0], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32030000000000003, 0.35402999999999984], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.26998999999999995, 0.3411900000000001], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 126.993 [0.23411016008297605, 0.3226380829731789] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.37764, 0.32765999999999984], [0, 0], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32030000000000003, 0.35402999999999984], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.26998999999999995, 0.3411900000000001], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 132.0 [0.23411016008297605, 0.3226380829731789] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.37764, 0.32765999999999984], [0, 0], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32030000000000003, 0.35402999999999984], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.26998999999999995, 0.3411900000000001], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 137.008 [0.23411016008297605, 0.3226380829731789] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.37764, 0.32765999999999984], [0, 0], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32030000000000003, 0.35402999999999984], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.26998999999999995, 0.3411900000000001], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 142.015 [0.23411016008297605, 0.3226380829731789] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.37764, 0.32765999999999984], [0, 0], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32030000000000003, 0.35402999999999984], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.26998999999999995, 0.3411900000000001], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 147.023 [0.23340704296603607, 0.3234777067767844] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.37764, 0.32765999999999984], [0.2675299999999998, 0.3947099999999999], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.2697099999999999, 0.34059000000000017], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 152.031 [0.233380111287926, 0.32350986710607726] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.37764, 0.32765999999999984], [0.2675299999999998, 0.3947099999999999], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.2697099999999999, 0.34059000000000017], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
