ID TIME pos
9 1.211 [0.26882527263129224, 0.06568234110134853] [0.44685420215183397, 0.3296397449460481] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
9 6.218 [0.26882527263129224, 0.06568234110134853] [0.44685420215183397, 0.3296397449460481] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
9 11.324 [0.26882527263129224, 0.06568234110134853] [0.44685420215183397, 0.3296397449460481] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
9 16.331 [0.26882527263129224, 0.06568234110134853] [0.44685420215183397, 0.3296397449460481] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3201099999999999, 0.43965999999999994], [0, 0]]
9 21.339 [0.26882527263129224, 0.06568234110134853] [0.44685420215183397, 0.3296397449460481] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3201099999999999, 0.43965999999999994], [0, 0]]
9 26.347 [0.26882527263129224, 0.06568234110134853] [0.44685420215183397, 0.3296397449460481] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3201099999999999, 0.43965999999999994], [0, 0]]
9 31.354 [0.26882527263129224, 0.06568234110134853] [0.44685420215183397, 0.3296397449460481] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3201099999999999, 0.43965999999999994], [0, 0]]
9 36.362 [0.26882527263129224, 0.06568234110134853] [0.44685420215183397, 0.3296397449460481] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3201099999999999, 0.43965999999999994], [0, 0]]
9 41.369 [0.26882527263129224, 0.06568234110134853] [0.44685420215183397, 0.3296397449460481] [[0.4388200000000002, 0.32794999999999996], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3201099999999999, 0.43965999999999994], [0, 0]]
9 46.377 [0.26882527263129224, 0.06568234110134853] [0.44685420215183397, 0.3296397449460481] [[0.4388200000000002, 0.32794999999999996], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3201099999999999, 0.43965999999999994], [0, 0]]
9 51.385 [0.26882527263129224, 0.06568234110134853] [0.44685420215183397, 0.3296397449460481] [[0.4388200000000002, 0.32794999999999996], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3201099999999999, 0.43965999999999994], [-0.3234300000000001, -0.42513]]
9 56.393 [0.26882527263129224, 0.06568234110134853] [0.44685420215183397, 0.3296397449460481] [[0.4388200000000002, 0.32794999999999996], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3201099999999999, 0.43965999999999994], [-0.3234300000000001, -0.42513]]
9 61.401 [0.26882527263129224, 0.06568234110134853] [0.44685420215183397, 0.3296397449460481] [[0.4388200000000002, 0.32794999999999996], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3201099999999999, 0.43965999999999994], [-0.3234300000000001, -0.42513]]
9 66.409 [0.26882527263129224, 0.06568234110134853] [0.44685420215183397, 0.3296397449460481] [[0.4388200000000002, 0.32794999999999996], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3201099999999999, 0.43965999999999994], [-0.3234300000000001, -0.42513]]
9 71.417 [0.26882527263129224, 0.06568234110134853] [0.44685420215183397, 0.3296397449460481] [[0.0464500000000001, 0.1764199999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.3201099999999999, 0.43965999999999994], [-0.3234300000000001, -0.42513]]
9 76.424 [0.0031576464619803, 0.19793034280837074] [0.44685420215183397, 0.3296397449460481] [[0.009329999999999838, 0.1948500000000002], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.20696000000000003, 0.5444399999999998], [-0.3201099999999999, 0.43965999999999994], [-0.3234300000000001, -0.42513]]
9 81.432 [-0.008168543255341833, 0.20356727499264501] [0.44685420215183397, 0.3296397449460481] [[-0.0040599999999999525, 0.20150999999999986], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.20696000000000003, 0.5444399999999998], [-0.3201099999999999, 0.43965999999999994], [-0.3234300000000001, -0.42513]]
