ID TIME pos
5 1.203 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
5 6.215 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
5 11.322 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
5 16.33 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
5 21.337 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
5 26.344 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
5 31.352 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
5 36.359 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
5 41.367 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
5 46.375 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
5 51.382 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
5 56.39 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
5 61.398 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.4131999999999998, -0.2816399999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
