ID TIME pos
2 1.206 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
2 6.213 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 11.221 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 16.228 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 21.236 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 26.244 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 31.251 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 36.259 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.26617, -0.04937999999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 41.266 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 46.274 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 51.281 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 56.288 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 61.295 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 66.302 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 71.31 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 76.318 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 81.326 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 86.333 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
