ID TIME FPS
10 0.07 0.07
10 0.17 0.1
10 0.28 0.11
10 0.38 0.1
10 0.485 0.11
10 0.589 0.1
10 0.699 0.11
10 0.798 0.1
10 0.898 0.1
10 1.006 0.11
10 1.099 0.09
10 1.198 0.1
10 1.298 0.1
10 1.404 0.11
10 1.498 0.09
10 1.598 0.1
10 1.705 0.11
10 1.798 0.09
10 1.898 0.1
10 2.002 0.1
10 2.098 0.1
10 2.205 0.11
10 2.303 0.1
10 2.398 0.1
10 2.498 0.1
10 2.604 0.11
10 2.698 0.09
10 2.803 0.11
10 2.898 0.09
10 2.998 0.1
10 3.104 0.11
10 3.198 0.09
10 3.298 0.1
10 3.404 0.11
10 3.498 0.09
10 3.598 0.1
10 3.704 0.11
10 3.799 0.09
10 3.904 0.11
10 3.999 0.09
10 4.105 0.11
10 4.198 0.09
10 4.298 0.1
10 4.398 0.1
10 4.504 0.11
10 4.601 0.1
10 4.698 0.1
10 4.798 0.1
10 4.905 0.11
10 4.999 0.09
10 5.099 0.1
10 5.203 0.1
10 5.299 0.1
10 5.404 0.1
10 5.498 0.09
10 5.6 0.1
10 5.699 0.1
10 5.797 0.1
10 5.898 0.1
10 6.004 0.11
10 6.098 0.09
10 6.198 0.1
10 6.298 0.1
10 6.398 0.1
10 6.504 0.11
10 6.599 0.09
10 6.704 0.11
10 6.798 0.09
10 6.899 0.1
10 7.003 0.1
10 7.098 0.09
10 7.204 0.11
10 7.298 0.09
10 7.399 0.1
10 7.505 0.11
10 7.599 0.09
10 7.699 0.1
10 7.804 0.11
10 7.903 0.1
10 7.998 0.1
10 8.098 0.1
10 8.205 0.11
10 8.298 0.09
10 8.399 0.1
10 8.504 0.11
10 8.598 0.09
10 8.705 0.11
10 8.798 0.09
10 8.904 0.11
10 8.998 0.09
10 9.099 0.1
10 9.204 0.1
10 9.298 0.09
10 9.398 0.1
10 9.505 0.11
10 9.599 0.09
10 9.706 0.11
10 9.798 0.09
10 9.898 0.1
10 10.008 0.11
10 10.098 0.09
10 10.199 0.1
10 10.299 0.1
10 10.398 0.1
10 10.504 0.11
10 10.603 0.1
10 10.698 0.09
10 10.798 0.1
10 10.904 0.11
10 10.999 0.09
10 11.098 0.1
10 11.205 0.11
10 11.302 0.1
10 11.398 0.1
10 11.499 0.1
10 11.605 0.11
10 11.699 0.09
10 11.805 0.11
10 11.899 0.09
10 12.0 0.1
10 12.105 0.11
10 12.198 0.09
10 12.299 0.1
10 12.405 0.11
10 12.498 0.09
10 12.599 0.1
10 12.705 0.11
10 12.799 0.09
10 12.906 0.11
10 13.0 0.09
10 13.098 0.1
10 13.199 0.1
10 13.303 0.1
10 13.398 0.1
10 13.498 0.1
10 13.598 0.1
10 13.704 0.11
10 13.798 0.09
10 13.898 0.1
10 14.003 0.11
10 14.098 0.09
10 14.198 0.1
10 14.304 0.11
10 14.398 0.09
10 14.505 0.11
10 14.598 0.09
10 14.698 0.1
10 14.803 0.1
10 14.898 0.1
10 15.001 0.1
10 15.099 0.1
10 15.205 0.11
10 15.305 0.1
10 15.398 0.09
10 15.499 0.1
10 15.605 0.11
10 15.698 0.09
10 15.805 0.11
10 15.898 0.09
10 15.998 0.1
10 16.099 0.1
10 16.205 0.11
10 16.298 0.09
10 16.404 0.11
10 16.498 0.09
10 16.603 0.11
10 16.698 0.09
10 16.799 0.1
10 16.904 0.1
10 16.998 0.09
10 17.098 0.1
10 17.199 0.1
10 17.304 0.11
10 17.397 0.09
10 17.499 0.1
10 17.602 0.1
10 17.699 0.1
10 17.806 0.11
10 17.903 0.1
10 17.998 0.09
10 18.098 0.1
10 18.205 0.11
10 18.298 0.09
10 18.398 0.1
10 18.5 0.1
10 18.598 0.1
10 18.699 0.1
10 18.803 0.1
10 18.898 0.09
10 19.004 0.11
10 19.102 0.1
10 19.198 0.1
10 19.298 0.1
10 19.398 0.1
10 19.5 0.1
10 19.598 0.1
10 19.704 0.11
10 19.804 0.1
10 19.898 0.09
10 19.999 0.1
10 20.104 0.1
10 20.202 0.1
10 20.298 0.1
10 20.398 0.1
10 20.505 0.11
10 20.598 0.09
10 20.699 0.1
10 20.803 0.1
10 20.899 0.1
10 21.005 0.11
10 21.099 0.09
10 21.203 0.1
10 21.301 0.1
10 21.398 0.1
10 21.498 0.1
10 21.604 0.11
10 21.698 0.09
10 21.799 0.1
10 21.905 0.11
10 21.998 0.09
10 22.099 0.1
10 22.203 0.1
10 22.298 0.09
10 22.399 0.1
10 22.504 0.11
10 22.598 0.09
10 22.704 0.11
10 22.807 0.1
10 22.9 0.09
10 23.0 0.1
10 23.098 0.1
10 23.199 0.1
10 23.3 0.1
10 23.404 0.1
10 23.498 0.09
10 23.598 0.1
10 23.699 0.1
10 23.805 0.11
10 23.899 0.09
10 24.0 0.1
10 24.101 0.1
10 24.201 0.1
10 24.304 0.1
10 24.404 0.1
10 24.498 0.09
10 24.599 0.1
10 24.704 0.1
10 24.798 0.09
10 24.898 0.1
10 24.999 0.1
10 25.105 0.11
