[2 INFO main 42] Initialising Python Geth Console...
[2 INFO main 47] Initialising peer buffer...
[2 INFO main 47] Initialising resource buffer...
[2 INFO main 47] Initialising TCP server...
[2 INFO main 47] Initialising TCP server...
[2 INFO main 47] Initialising RandB board...
[2 INFO main 47] Initialising resource sensor...
[2 INFO main 47] Initialising random-walk...
[2 INFO main 47] Initialising navigation...
[2 INFO main 47] Initialising odometry...
[2 INFO main 2534] --//-- Starting Experiment --//--
[2 INFO main 2640] Idle.IDLE -> Scout.EXPLORE | Duration: 42.24
[2 INFO main 44916] Scout.EXPLORE -> Recruit.BUY | Found 0
[2 INFO main 74978] Recruit.BUY -> Idle.IDLE | Buy expired
[2 INFO main 75068] Idle.IDLE -> Scout.EXPLORE | Duration: 39.46
[2 INFO main 114619] Scout.EXPLORE -> Recruit.BUY | Found 0
[2 INFO main 144682] Recruit.BUY -> Idle.IDLE | Buy expired
[2 INFO main 144784] Idle.IDLE -> Scout.EXPLORE | Duration: 41.13
[2 INFO main 185961] Scout.EXPLORE -> Recruit.BUY | Found 0
[2 INFO main 216006] Recruit.BUY -> Idle.IDLE | Buy expired
[2 INFO main 216106] Idle.IDLE -> Scout.EXPLORE | Duration: 38.98
[2 INFO main 255163] Scout.EXPLORE -> Recruit.BUY | Found 0
[2 INFO main 285233] Recruit.BUY -> Idle.IDLE | Buy expired
[2 INFO main 285333] Idle.IDLE -> Scout.EXPLORE | Duration: 39.58
[2 INFO main 324985] Scout.EXPLORE -> Recruit.BUY | Found 0
[2 INFO main 355030] Recruit.BUY -> Idle.IDLE | Buy expired
[2 INFO main 355122] Idle.IDLE -> Scout.EXPLORE | Duration: 42.48
[2 INFO main 397622] Scout.EXPLORE -> Recruit.BUY | Found 0
[2 INFO main 427701] Recruit.BUY -> Idle.IDLE | Buy expired
[2 INFO main 427801] Idle.IDLE -> Scout.EXPLORE | Duration: 41.47
[2 INFO main 469369] Scout.EXPLORE -> Recruit.BUY | Found 0
[2 INFO main 499417] Recruit.BUY -> Idle.IDLE | Buy expired
[2 INFO main 499508] Idle.IDLE -> Scout.EXPLORE | Duration: 41.59
[2 INFO main 541181] Scout.EXPLORE -> Recruit.BUY | Found 0
[2 INFO main 571235] Recruit.BUY -> Idle.IDLE | Buy expired
[2 INFO main 571325] Idle.IDLE -> Scout.EXPLORE | Duration: 42.60
[2 INFO main 613996] Scout.EXPLORE -> Recruit.BUY | Found 0
[2 INFO main 644042] Recruit.BUY -> Idle.IDLE | Buy expired
[2 INFO main 644136] Idle.IDLE -> Scout.EXPLORE | Duration: 40.42
[2 INFO main 684599] Scout.EXPLORE -> Recruit.BUY | Found 0
[2 INFO main 714660] Recruit.BUY -> Idle.IDLE | Buy expired
[2 INFO main 714750] Idle.IDLE -> Scout.EXPLORE | Duration: 41.66
[2 INFO main 756413] Scout.EXPLORE -> Recruit.BUY | Found 0
[2 INFO main 786460] Recruit.BUY -> Idle.IDLE | Buy expired
[2 INFO main 786568] Idle.IDLE -> Scout.EXPLORE | Duration: 41.69
[2 INFO main 828327] Scout.EXPLORE -> Recruit.BUY | Found 0
[2 INFO main 858363] Recruit.BUY -> Idle.IDLE | Buy expired
[2 INFO main 858464] Idle.IDLE -> Scout.EXPLORE | Duration: 44.21
