ID TIME FPS
4 0.972 0.97
4 2.0 1.03
4 2.97 0.96
4 3.983 1.01
4 5.007 1.02
4 5.981 0.97
4 7.019 1.04
4 7.998 0.97
4 9.001 1.0
4 10.008 1.01
4 10.981 0.97
4 11.993 1.01
4 12.989 0.99
4 14.01 1.02
4 14.997 0.99
4 16.001 1.0
4 16.994 0.99
4 18.01 1.01
4 18.999 0.99
4 19.98 0.98
4 20.982 1.0
4 21.977 0.99
4 22.977 1.0
4 24.006 1.03
4 24.981 0.97
4 26.007 1.03
4 26.988 0.98
4 28.028 1.04
4 29.022 0.99
4 29.999 0.98
4 30.981 0.98
4 32.011 1.03
4 32.999 0.98
4 34.008 1.01
4 34.983 0.97
4 36.016 1.03
4 36.992 0.98
4 38.01 1.02
4 38.996 0.98
4 39.996 0.99
4 40.981 0.99
4 41.981 1.0
4 43.014 1.03
4 43.978 0.96
4 44.977 1.0
4 46.016 1.04
4 46.993 0.98
4 47.981 0.99
4 49.013 1.03
4 49.978 0.96
4 51.005 1.03
4 51.996 0.99
4 53.013 1.02
4 53.988 0.97
4 54.997 1.01
4 55.976 0.97
4 57.007 1.03
4 57.986 0.98
4 59.021 1.03
4 60.028 1.01
4 60.989 0.96
4 62.018 1.02
4 62.987 0.97
4 64.015 1.03
4 64.984 0.97
4 66.023 1.04
4 66.99 0.97
4 68.015 1.02
4 69.011 1.0
4 70.003 0.99
4 71.018 1.01
4 71.996 0.98
4 73.004 1.0
4 73.989 0.98
4 75.012 1.02
4 75.996 0.98
4 77.004 1.0
4 78.022 1.02
4 79.023 1.0
4 79.993 0.97
4 80.991 1.0
4 82.013 1.02
4 82.993 0.98
4 83.99 1.0
4 84.982 0.99
4 86.004 1.02
4 87.016 1.01
4 88.005 0.99
4 89.01 1.0
4 89.994 0.98
4 91.007 1.01
4 91.996 0.99
4 93.006 1.01
4 94.027 1.02
4 95.009 0.98
4 96.016 1.01
4 97.006 0.99
4 98.018 1.01
4 99.004 0.99
4 99.984 0.98
4 101.013 1.03
4 102.02 1.0
4 103.034 1.01
4 103.999 0.96
4 105.014 1.01
4 106.018 1.0
4 107.001 0.98
4 108.019 1.0
4 109.032 1.01
4 109.983 0.95
4 111.025 1.04
4 111.983 0.96
4 113.01 1.03
4 114.03 1.02
4 114.985 0.95
4 115.993 1.01
4 117.006 1.01
