ID TIME #BLOCKS
4 3.99 1
4 14.967 1
4 23.029 2
4 47.981 1
4 73.973 2
4 93.995 1
4 112.981 3
4 134.006 1
4 153.989 1
4 172.008 2
4 190.051 1
4 223.999 3
4 250.021 2
4 279.058 3
4 354.006 2
4 374.032 2
4 416.028 1
4 487.025 3
4 603.032 3
4 635.075 2
4 661.034 1
4 678.043 3
4 702.048 1
4 775.051 1
4 841.048 1
4 860.052 1
4 882.08 1
4 899.092 4
4 932.063 2
4 994.066 3
4 1041.13 1
4 1100.073 2
4 1123.136 1
4 1140.124 2
4 1185.101 1
4 1219.099 1
4 1242.097 1
4 1292.107 1
4 1344.109 2
4 1365.103 4
4 1406.124 2
4 1428.155 1
4 1442.169 1
4 1470.129 3
