ID TIME ESTIMATE W B S1 S2 S3
6 0.002 0.125 0 3 0 0 0
6 0.985 0.071 0 6 0.0 0.0 0.0
6 2.965 0.05 0 9 0.0 0.0 0.0
6 3.986 0.038 0 12 0.0 0.0 0.0
6 5.952 0.031 0 15 0.0 0.0 0.0
6 6.995 0.026 0 18 0.0 0.0 0.0
6 8.982 0.068 1 20 0.7490196078431373 0.0 0.0
6 9.993 0.06 1 23 0.0 0.0 0.0
6 11.961 0.054 1 26 0.0 0.0 0.0
6 12.989 0.048 1 29 0.0 0.0 0.0
6 14.015 0.044 1 32 0.0 0.0 0.0
6 15.998 0.041 1 35 0.0 0.0 0.0
6 17.963 0.062 2 37 1.0 0.0 0.0
6 18.998 0.058 2 40 0.0 0.0 0.0
6 20.951 0.054 2 43 0.0 0.0 0.0
6 21.964 0.051 2 46 0.0 0.0 0.0
6 22.998 0.048 2 49 0.0 0.0 0.0
6 24.985 0.1 5 49 0.7490196078431373 1.0 1.0
6 26.974 0.095 5 52 0.0 0.0 0.0
6 28.991 0.09 5 55 0.0 0.0 0.0
6 30.956 0.086 5 58 0.0 0.0 0.0
6 31.997 0.082 5 61 0.0 0.0 0.0
6 33.97 0.079 5 64 0.0 0.0 0.0
6 35.958 0.075 5 67 0.0 0.0 0.0
6 36.964 0.072 5 70 0.0 0.0 0.0
6 37.995 0.07 5 73 0.0 0.0 0.0
6 39.96 0.067 5 76 0.0 0.0 0.0
6 40.982 0.065 5 79 0.0 0.0 0.0
6 42.987 0.062 5 82 0.0 0.0 0.0
6 44.962 0.071 6 84 0.0 0.0 1.0
6 46.995 0.069 6 87 0.0 0.0 0.0
6 47.998 0.067 6 90 0.0 0.0 0.0
6 49.983 0.065 6 93 0.0 0.0 0.0
6 50.996 0.063 6 96 0.0 0.0 0.0
6 53.007 0.071 7 98 0.0 0.0 0.24313725490196078
6 54.961 0.087 9 99 1.0 0.7490196078431373 0.0
6 55.969 0.112 12 99 1.0 1.0 1.0
6 57.012 0.117 13 101 1.0 0.0 0.0
6 58.996 0.114 13 104 0.0 0.0 0.0
6 60.976 0.112 13 107 0.0 0.0 0.0
6 62.968 0.109 13 110 0.0 0.0 0.0
6 63.995 0.106 13 113 0.0 0.0 0.0
6 65.99 0.104 13 116 0.0 0.0 0.0
