ID TIME FPS
20 0.11 0.11
20 0.196 0.09
20 0.296 0.1
20 0.4 0.1
20 0.496 0.1
20 0.608 0.11
20 0.698 0.09
20 0.797 0.1
20 0.898 0.1
20 0.997 0.1
20 1.099 0.1
20 1.197 0.1
20 1.298 0.1
20 1.397 0.1
20 1.497 0.1
20 1.597 0.1
20 1.698 0.1
20 1.798 0.1
20 1.898 0.1
20 1.998 0.1
20 2.099 0.1
20 2.198 0.1
20 2.298 0.1
20 2.398 0.1
20 2.499 0.1
20 2.598 0.1
20 2.699 0.1
20 2.802 0.1
20 2.899 0.1
20 2.999 0.1
20 3.099 0.1
20 3.199 0.1
20 3.301 0.1
20 3.399 0.1
20 3.499 0.1
20 3.602 0.1
20 3.701 0.1
20 3.8 0.1
20 3.9 0.1
20 4.0 0.1
20 4.101 0.1
20 4.2 0.1
20 4.301 0.1
20 4.4 0.1
20 4.502 0.1
20 4.607 0.1
20 4.703 0.1
20 4.801 0.1
20 4.903 0.1
20 5.002 0.1
20 5.103 0.1
20 5.202 0.1
20 5.304 0.1
20 5.402 0.1
20 5.503 0.1
20 5.612 0.11
20 5.705 0.09
20 5.802 0.1
20 5.904 0.1
20 6.003 0.1
20 6.103 0.1
20 6.203 0.1
20 6.303 0.1
20 6.408 0.11
20 6.503 0.1
20 6.61 0.11
20 6.704 0.09
20 6.803 0.1
20 6.904 0.1
20 7.004 0.1
20 7.105 0.1
20 7.204 0.1
20 7.304 0.1
20 7.404 0.1
20 7.506 0.1
20 7.604 0.1
20 7.706 0.1
20 7.805 0.1
20 7.905 0.1
20 8.005 0.1
20 8.105 0.1
20 8.206 0.1
20 8.307 0.1
20 8.406 0.1
20 8.506 0.1
20 8.61 0.1
20 8.706 0.1
20 8.806 0.1
20 8.908 0.1
20 9.007 0.1
20 9.107 0.1
20 9.207 0.1
20 9.309 0.1
20 9.407 0.1
20 9.509 0.1
20 9.607 0.1
20 9.709 0.1
20 9.808 0.1
20 9.909 0.1
20 10.008 0.1
20 10.11 0.1
20 10.209 0.1
20 10.309 0.1
20 10.408 0.1
20 10.509 0.1
20 10.61 0.1
20 10.709 0.1
20 10.809 0.1
20 10.91 0.1
20 11.009 0.1
20 11.109 0.1
20 11.21 0.1
20 11.317 0.11
20 11.411 0.09
20 11.51 0.1
20 11.611 0.1
20 11.711 0.1
20 11.811 0.1
20 11.911 0.1
